hosp10 REPORT COUNTS  BY STATUS BY YEAR FOR THE QUARTER ENDING 2020-03-31                                                           
Year,          Amended,       As Submitted,  Reopened,      Settled,       Settled w/Audit,Sum                                      
2010,          29,            120,           593,           1427,          154,           2323                                      
2011,          68,            227,           1771,          3743,          341,           6150                                      
2012,          61,            120,           1916,          3730,          400,           6227                                      
2013,          79,            78,            1468,          4266,          357,           6248                                      
2014,          145,           83,            1560,          4104,          357,           6249                                      
2015,          331,           266,           676,           4590,          394,           6257                                      
2016,          856,           1138,          132,           3801,          284,           6211                                      
2017,          1384,          2883,          45,            1812,          42,            6166                                      
2018,          701,           5098,          0,             322,           0,             6121                                      
2019,          15,            950,           0,             24,            0,             989                                       
Sum,           3669,          10963,         8161,          27819,         2329,          52941                                     
