717629,S000001,00100,00100,X
717629,S000001,00400,00100,N
717629,S000001,00500,00100,2
717629,S000001,00600,00200,05/16/2022
717629,S000001,00700,00200,11501
717629,S000001,00800,00200,N
717629,S000001,00900,00200,Y
717629,S000001,01000,00300,05/18/2022
717629,S000001,01100,00300,4
717629,S200001,00100,00100,3200 WATERFIELD ROAD
717629,S200001,00200,00100,GARNER
717629,S200001,00200,00200,NC
717629,S200001,00200,00300,27529-7727
717629,S200001,00300,00100,STRATEGIC BEHAVIORAL CENTER - GARNER
717629,S200001,00300,00200,344028
717629,S200001,00300,00500,06/18/2013
717629,S200001,02100,00100,1
717969,A000000,00100,00000,00100CAP REL COSTS-BLDG & FIXT
717969,A000000,00200,00000,00200CAP REL COSTS-MVBLE EQUIP
717969,A000000,00400,00000,00400EMPLOYEE BENEFITS DEPARTMENT
717969,A000000,00500,00000,00500ADMINISTRATIVE & GENERAL
717969,A000000,00700,00000,00700OPERATION OF PLANT
717969,A000000,00800,00000,00800LAUNDRY & LINEN SERVICE
717969,A000000,00900,00000,00900HOUSEKEEPING
717969,A000000,01000,00000,01000DIETARY
717969,A000000,01100,00000,01100CAFETERIA
717969,A000000,01300,00000,01300NURSING ADMINISTRATION
717969,A000000,01400,00000,01400CENTRAL SERVICES & SUPPLY
717969,A000000,01500,00000,01500PHARMACY
717969,A000000,01600,00000,01600MEDICAL RECORDS & LIBRARY
717969,A000000,03000,00000,03000ADULTS & PEDIATRICS
717969,A000000,03100,00000,03100INTENSIVE CARE UNIT
717969,A000000,04300,00000,04300NURSERY
717969,A000000,05000,00000,05000OPERATING ROOM
717969,A000000,05100,00000,05100RECOVERY ROOM
717969,A000000,05200,00000,05200DELIVERY ROOM & LABOR ROOM
717969,A000000,05300,00000,05300ANESTHESIOLOGY
717969,A000000,05400,00000,05400RADIOLOGY-DIAGNOSTIC
717969,A000000,05401,00000,03630ULTRA SOUND
717969,A000000,05600,00000,05600RADIOISOTOPE
717969,A000000,05700,00000,05700CT SCAN
717969,A000000,05800,00000,05800MRI
717969,A000000,06000,00000,06000LABORATORY
717969,A000000,06200,00000,06200WHOLE BLOOD & PACKED RED BLOOD CELL
717969,A000000,06500,00000,06500RESPIRATORY THERAPY
717969,A000000,06600,00000,06600PHYSICAL THERAPY
717969,A000000,06900,00000,06900ELECTROCARDIOLOGY
717969,A000000,07100,00000,07100MEDICAL SUPPLIES CHARGED TO PATIENT
717969,A000000,07200,00000,07200IMPL. DEV. CHARGED TO PATIENTS
717969,A000000,07300,00000,07300DRUGS CHARGED TO PATIENTS
717969,A000000,07400,00000,07400RENAL DIALYSIS
717969,A000000,07600,00000,03950OTHER ANCILLARY SERVICE COST CENTER
717969,A000000,07601,00000,03951SLEEP LAB
717969,A000000,07602,00000,03020PSYCH SERVICES
717969,A000000,07603,00000,03953WOUND CARE
717969,A000000,09100,00000,09100EMERGENCY
717969,A000000,09200,00000,09200OBSERVATION BEDS (NON-DISTINCT PART
717969,A000000,09500,00000,09500AMBULANCE SERVICES
717969,A000000,19000,00000,19000GIFT  FLOWER  COFFEE SHOP & CANTEEN
717969,A000000,19200,00000,19200PHYSICIANS PRIVATE OFFICES
717969,A000000,19400,00000,07952OTHER NONREIMBURSABLE COST CENTERS
717969,A000000,19401,00000,07950MARKETING
717969,A6000A0,00100,00000,EMPLOYEE BENEFITS
717969,A6000A0,00100,00100,A
717969,A6000C0,00100,00000,LEASE AND RENTAL EXPENSE
717969,A6000C0,00100,00100,C
717969,A6000C0,00200,00000,LEASE AND RENTAL EXPENSE
717969,A6000C0,00200,00100,C
717969,A6000C0,00300,00000,LEASE AND RENTAL EXPENSE
717969,A6000C0,00300,00100,C
717969,A6000C0,00400,00000,LEASE AND RENTAL EXPENSE
717969,A6000C0,00400,00100,C
717969,A6000C0,00500,00000,LEASE AND RENTAL EXPENSE
717969,A6000C0,00500,00100,C
717969,A6000C0,00600,00000,LEASE AND RENTAL EXPENSE
717969,A6000C0,00600,00100,C
717969,A6000C0,00700,00000,LEASE AND RENTAL EXPENSE
717969,A6000C0,00700,00100,C
717969,A6000C0,00800,00000,LEASE AND RENTAL EXPENSE
717969,A6000C0,00800,00100,C
