Hospital,Hospital type,Control type,Cost To Charge Ratio,Fiscal Year Begin Date,Total Bad Debt expense,Urban (1) and Rural (2) Indicator,FTE Employees on Payroll,Total Salaries,Total Days Title XVIII,Total Costs,Medicaid charges,HVBP payment adjustment amount,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",REIMBURSEMENT SETTLEMENT: Interim payments,NUMBER OF BEDS: ICU,Total discharges,BED DAYS: Total Hospital,Total Charges,REIMBURSEMENT SETTLEMENT: Subtotal,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"Donations, Land Improvements",Fiscal Year End Date,Cost of Uncompensated Care,State,IPPS Payment amount (unadjusted),NUMBER OF BEDS: Adults & Pediatrics,NUMBER OF BEDS: Total Hospital,Net Revenue from Medicaid,Total Liabilities,Number of Interns & Residents,Total Days,IPPS Interim payment,Total cost of charity care,FFY
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,0.525862,2013-10-01 00:00:00,4693851.0,2.0,,15718491.0,1297.0,30095364.0,5020937.0,,,,2322550.0,6.0,563.0,9125.0,57230557.0,2134183.0,,,2014-09-30,2825332.0,SC,,19.0,25.0,1674233.0,11723522.0,160.6,2379.0,,470852.0,2014
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,0.366503,2014-01-01 00:00:00,6552984.0,2.0,,19463743.0,3207.0,34968127.0,16852197.0,13376.0,,14527629.0,2787378.0,6.0,1251.0,16060.0,95410094.0,2844565.0,,,2014-12-31,3670031.0,LA,4406340.0,38.0,44.0,7477299.0,8285931.0,319.0,6186.0,4524393.0,1268343.0,2014
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.269852,2014-01-01 00:00:00,16081000.0,1.0,45.78,450961516.0,57214.0,764065714.0,97120183.0,257815.0,,292054195.0,35983274.0,62.0,36198.0,211335.0,2831429055.0,36553696.0,,,2014-12-31,7079013.0,MN,183167646.0,517.0,579.0,16450608.0,-206271088.0,4975.83,162376.0,167652689.0,2720834.0,2014
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.109365,2014-09-01 00:00:00,23587554.0,2.0,,47471557.0,10282.0,94680216.0,81091647.0,-81365.0,,37325489.0,9160181.0,36.0,6401.0,65700.0,865724114.0,9221392.0,,,2015-08-31,4033484.0,TX,20383536.0,144.0,180.0,5291202.0,84191286.0,686.52,28825.0,17662378.0,1301354.0,2014
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.17313,2014-07-01 00:00:00,21167038.0,1.0,164.59,275831111.0,42752.0,493772766.0,254994328.0,-55534.0,,206761886.0,33450592.0,42.0,26530.0,208415.0,2852034863.0,34199686.0,,,2015-06-30,9417776.0,PA,120053119.0,473.0,571.0,32829238.0,607546292.0,3454.6,126745.0,103811499.0,5730121.0,2014
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.377718,2013-10-01 00:00:00,1829301.0,2.0,,13492286.0,2508.0,33690061.0,16557018.0,,,,4129225.0,,1092.0,9125.0,89193738.0,3491159.0,,,2014-09-30,2621229.0,IL,,25.0,25.0,2807792.0,48760321.0,226.98,4701.0,,2083176.0,2014
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.182596,2014-05-01 00:00:00,31082755.0,1.0,,55823230.0,9139.0,132839195.0,216331684.0,-31353.0,,57304197.0,4570898.0,20.0,10387.0,65092.0,727504958.0,4587876.0,,,2015-04-30,11221727.0,AZ,21941703.0,168.0,188.0,25375070.0,34681378.0,885.87,39745.0,19667361.0,5499489.0,2014
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,0.713484,2013-10-01 00:00:00,1587366.0,2.0,,3995230.0,906.0,9295613.0,1858253.0,,,,1000017.0,,328.0,9125.0,13028479.0,1128861.0,,,2014-09-30,1127806.0,LA,,25.0,25.0,1230444.0,744300.0,103.76,1327.0,,,2014
ACADIA ABILENE PSYCH CENTER (454098),Psychiatric,Proprietary-Corporation,,2014-01-01 00:00:00,,1.0,,5297734.0,3441.0,9053890.0,,,,,212433.0,,1859.0,30660.0,29655205.0,216763.0,,,2014-12-31,,TX,,84.0,84.0,,467028.0,122.4,29580.0,,,2014
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.380158,2014-06-01 00:00:00,2176329.0,2.0,,4669445.0,1781.0,10577817.0,2937126.0,-12164.0,,4854804.0,1410269.0,4.0,750.0,17080.0,27824800.0,1439065.0,,,2014-09-30,851101.0,LA,2867052.0,136.0,140.0,991725.0,6029742.0,167.81,3647.0,2681052.0,29538.0,2014
