Hospital,Hospital type,Control type,IPPS Interim payment,Cost of Uncompensated Care,Cost To Charge Ratio,Urban (1) and Rural (2) Indicator,Total Costs,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,IPPS Payment amount (unadjusted),Net Revenue from Medicaid,"Donations, Land Improvements",Total Charges,NUMBER OF BEDS: Total Hospital,Total Days,REIMBURSEMENT SETTLEMENT: Interim payments,Total Salaries,BED DAYS: Total Hospital,Total discharges,Total Bad Debt expense,Fiscal Year End Date,State,Total Days Title XVIII,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: ICU,Total cost of charity care,HVBP payment adjustment amount,Fiscal Year Begin Date,FTE Employees on Payroll,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,Medicaid charges,Number of Interns & Residents,NUMBER OF BEDS: Adults & Pediatrics,Beginning FFY
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,4298909.0,0.509045,2.0,44933387.0,,,234347.0,,88269904.0,25.0,2548.0,2613331.0,22446262.0,9150.0,441.0,8475831.0,2020-09-30,SC,855.0,2791394.0,6.0,,,2019-10-01 00:00:00,,,,29265507.0,899158.0,169.73,19.0,2020
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,5611530.0,2113847.0,0.35064,2.0,49380577.0,,5014483.0,15502628.0,,140829869.0,44.0,5802.0,2902464.0,27709143.0,16104.0,1464.0,5772739.0,2020-12-31,LA,2339.0,2923749.0,6.0,89731.0,21925.0,2020-01-01 00:00:00,,60081.0,20076631.0,24659926.0,48297271.0,363.7,38.0,2020
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,144154017.0,14056063.0,0.29876,1.0,904422816.0,,153039732.0,16182706.0,,3027256653.0,583.0,147043.0,41025923.0,583137255.0,213378.0,29300.0,19233120.0,2020-12-31,MN,40005.0,40937339.0,74.0,8263948.0,487346.0,2020-01-01 00:00:00,44.9,,344710909.0,-295045786.0,87235787.0,5314.27,509.0,2020
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,136597319.0,14101873.0,0.251764,1.0,672266043.0,,144472430.0,45020401.0,,2670227199.0,588.0,153831.0,27146572.0,360868417.0,214620.0,30310.0,19545019.0,2021-06-30,PA,51586.0,28719030.0,33.0,9080317.0,195054.0,2020-07-01 00:00:00,160.31,,295547005.0,815129917.0,272992193.0,4218.55,499.0,2020
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,1608698.0,0.289401,2.0,36449068.0,,,4612420.0,,125946432.0,25.0,4764.0,2278148.0,17472382.0,9150.0,763.0,4132665.0,2020-09-30,IL,2916.0,2538269.0,,366457.0,,2019-10-01 00:00:00,,,,6044725.0,25786058.0,272.2,25.0,2020
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,56439974.0,4515506.0,0.092144,2.0,273964747.0,,63649490.0,43787799.0,,2973225456.0,270.0,66149.0,20906532.0,101392454.0,98550.0,15196.0,13962652.0,2021-03-31,AZ,15019.0,21150089.0,38.0,3072570.0,17769.0,2020-04-01 00:00:00,25.62,,99572248.0,82910217.0,550313191.0,1143.0,232.0,2020
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,16954098.0,4708565.0,0.083593,2.0,102416193.0,,18101464.0,31845546.0,,1225171069.0,161.0,34457.0,2995102.0,55793897.0,58765.0,6441.0,11547473.0,2021-03-31,AZ,5548.0,2840800.0,28.0,3576615.0,-24211.0,2020-04-01 00:00:00,18.25,,53625970.0,31366363.0,473622626.0,583.27,133.0,2020
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,14612218.0,3437066.0,0.10399,1.0,97947869.0,,15832689.0,13648936.0,,941893406.0,120.0,18021.0,10685827.0,32628626.0,43920.0,4742.0,7395143.0,2020-09-30,AZ,4330.0,10705231.0,14.0,2600261.0,16414.0,2019-10-01 00:00:00,,158324.0,32498834.0,28017350.0,201704338.0,378.5,106.0,2020
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,30071842.0,8597824.0,0.073704,1.0,163541083.0,,36187946.0,39835489.0,,2218892901.0,191.0,58734.0,6199569.0,74759703.0,69715.0,11803.0,22130762.0,2021-04-30,AZ,11404.0,6315762.0,20.0,6772626.0,44747.0,2020-05-01 00:00:00,20.55,,73325579.0,41593590.0,607911343.0,850.6,171.0,2020
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,,612050.0,0.592243,2.0,18059982.0,,,5571581.0,,30494195.0,25.0,2177.0,1368070.0,6285351.0,9150.0,218.0,1048280.0,2020-09-30,LA,1341.0,1806027.0,,11446.0,,2019-10-01 00:00:00,,,,10303803.0,7564844.0,106.6,25.0,2020
