Hospital,Hospital type,Control type,Medicaid charges,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),Cost of Uncompensated Care,"Donations, Land Improvements",IPPS Payment amount (unadjusted),BALANCE SHEET: Temporary Investments (G_C1THRU4_2),STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Cost To Charge Ratio,State,Total Costs,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),REIMBURSEMENT SETTLEMENT: Subtotal,REIMBURSEMENT SETTLEMENT: Interim payments,HVBP payment adjustment amount,NUMBER OF BEDS: ICU,Net Revenue from Medicaid,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),Fiscal Year End Date,FTE Employees on Payroll,Number of Interns & Residents,Total Liabilities,Total discharges,Fiscal Year Begin Date,Total cost of charity care,NUMBER OF BEDS: Total Hospital,BED DAYS: Total Hospital,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),BALANCE SHEET: Inventory (G_C1THRU4_7),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",Total Charges,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),IPPS Interim payment,Total Inpatient Days,NUMBER OF BEDS: Adults & Pediatrics,"ADJUSTED SALARIES, Subtotal Salaries",REIMBURSEMENT SETTLEMENT: Payment to cost ratio,HAC reduction adjustment amount,Total Salaries,Total Bad Debt expense,BALANCE SHEET: Total Assets (G_C1THRU4_36),BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Urban (1) and Rural (2) Indicator,Total Days Title XVIII,Beginning FFY,Financial Indicators: Ratio of Charity Care to Total Operating Expense,Financial Indicators: Total Net Assets,Financial Indicators: Medicaid Costs,Financial Indicators: Medicaid Shortfall,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,284238.0,,,,,-4166743.0,,SC,45553078.0,4060290.0,1890706.0,1555486.0,,6.0,,7312405.0,2652880.0,2023-09-30,,150.91,15033974.0,492.0,2022-10-01 00:00:00,,25.0,9125.0,328658.0,726846.0,679209.0,90800360.0,41364324.0,,3330.0,19.0,,,,20324473.0,,24735216.0,12065110.0,2.0,1140.0,2023,,9701242.0,,,2652880.0,-0.10073277155454058,-11389896.0,-0.27535554551792024,1.8009563356311988,3.624861770957247,1.5409985493647005,0.6533720497796955,1.549695801836507,0.6077963499489958,0.3922036500510042,-37.68210795178688,9701242.0,1.6722847295936287,3.428424937692238,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,,166242.0,,,3328619.0,2559125.0,6583907.0,,LA,60887578.0,7381774.0,2802001.0,2745966.0,-2390.0,6.0,,36198833.0,17041431.0,2023-12-31,,387.9,10311082.0,1454.0,2023-01-01 00:00:00,,44.0,16060.0,965301.0,1479115.0,4098565.0,189969205.0,72096452.0,3493929.0,5936.0,38.0,24193622.0,,,33451086.0,,75950615.0,24550643.0,2.0,1615.0,2023,,65639533.0,,,19600556.0,0.09132081839478037,542633.0,0.007526486878993713,4.903812145969248,5.98110955442418,4.572670065488323,2.3085820562916175,0.15708646190398703,0.1357603490109988,0.8642396509890012,27.91832388926986,65639533.0,0.949254354293247,2.936642107499995,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,,,,151681028.0,,-136213853.0,,MN,1214016837.0,88013395.0,45482881.0,44789681.0,262761.0,74.0,,252789808.0,7857.0,2023-12-31,50.98,5264.69,174168438.0,31277.0,2023-01-01 00:00:00,,609.0,222285.0,3323185.0,38193720.0,31091902.0,3865820715.0,1325685865.0,138299078.0,174940.0,535.0,373327817.0,,,626049931.0,,1004550608.0,599641983.0,1.0,39938.0,2023,,830382170.0,,,7857.0,-0.10274972117923276,-381015328.0,-0.2874099649542541,2.872174263928803,6.813165655068754,2.4004630545157357,8.927050251839506e-05,0.2097449154044336,0.17337945606021674,0.8266205439397832,,830382170.0,1.3196805162851486,2.2107956123545804,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,,,,,,26346866.0,,IL,44446124.0,5877272.0,1551333.0,2059543.0,,,,10356516.0,656913.0,2023-09-30,,253.48,5877272.0,536.0,2022-10-01 00:00:00,,25.0,9125.0,392876.0,523740.0,3373199.0,172357379.0,64383318.0,,5553.0,25.0,,,,20731028.0,,193719917.0,11585017.0,2.0,2921.0,2023,,187842645.0,,,656913.0,0.4092188290140623,11179596.0,0.1736411907196209,1.7621297772163684,2.082927249240804,1.6061703456978,0.1117717539702093,0.03128827322464502,0.030339017747978904,0.9696609822520211,,187842645.0,0.3323525995522701,5.5574642661292595,non-profit
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,121908.0,,,74107868.0,,66609778.0,,AZ,329021707.0,34563121.0,27431226.0,26834556.0,99311.0,38.0,,114640261.0,334854.0,2024-03-31,55.63,1170.4,47356979.0,15201.0,2023-04-01 00:00:00,,278.0,101891.0,1245068.0,12087885.0,10148247.0,4327567867.0,438035011.0,65688274.0,63098.0,240.0,112159535.0,,,116596211.0,,270371631.0,558635000.0,2.0,12218.0,2023,,223014652.0,,,334854.0,0.15206496359260196,63891244.0,0.1458587610477556,3.316837649007449,16.172435758911934,2.931081021300131,0.009688187591624032,0.2123491823308542,0.1751551330472242,0.8248448669527758,607.3390671654034,223014652.0,1.6201219387547356,0.7841166611472608,for-profit
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,-33759.0,,,11189019.0,,-3029967.0,,AZ,90413632.0,7770457.0,1628270.0,1665512.0,-34178.0,28.0,,32093344.0,1200.0,2024-03-31,16.16,431.01,13242919.0,5081.0,2023-04-01 00:00:00,,149.0,54541.0,295433.0,3377159.0,4604582.0,1111366608.0,98949959.0,10023733.0,24585.0,121.0,39697073.0,,,41417053.0,,133795632.0,162921679.0,2.0,3087.0,2023,,120552713.0,,,1200.0,-0.03062120520939276,-5794097.0,-0.058555830225255574,4.130174583039325,20.966962303504157,3.657539318472517,0.0001544310714286174,0.10985168786703291,0.09897870955906841,0.9010212904409316,35.235492757486895,120552713.0,0.7395604588945026,0.6073467914604538,for-profit
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,78539.0,,,15185314.0,,7160911.0,,AZ,112235067.0,9742175.0,9846626.0,9713389.0,,14.0,,25450573.0,333042.0,2023-09-30,,363.9,24205912.0,4701.0,2022-10-01 00:00:00,,128.0,46720.0,384208.0,1994318.0,4708705.0,1265552366.0,125264552.0,13327654.0,18510.0,114.0,39159704.0,,,39193818.0,,77971525.0,73073794.0,1.0,3967.0,2023,,53765613.0,,,333042.0,0.05716630032732644,6703748.0,0.05351672035676941,2.6124118074249334,7.534953539635656,2.3682644789279603,0.03418558997349155,0.45021177383395594,0.31044553764980226,0.6895544623501977,145.30937496021085,53765613.0,1.606542285789588,1.7142199021443993,for-profit
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,24.0,,,6392465.0,,6400658.0,,LA,50363732.0,8034313.0,6739698.0,6604915.0,,4.0,,11676667.0,45315.0,2023-09-30,,236.7,12854623.0,1564.0,2022-10-01 00:00:00,,54.0,19710.0,232351.0,1788115.0,3452542.0,237726674.0,53325390.0,7009145.0,7969.0,50.0,17142566.0,,,16860604.0,,23103685.0,5921176.0,1.0,3333.0,2023,,10249062.0,,,45315.0,0.1200302145000721,-4218945.0,-0.0791170022385209,1.4533497761414076,0.7426261585775908,1.2018701536771097,0.005640183547740796,1.254224337797937,0.5563884289454258,0.4436115710545742,-31933.458333333332,10249062.0,2.3080902462096415,9.0058782241906,non-profit
ACADIA GREENLEAF HOSPITAL (114036),Psychiatric,Proprietary-Corporation,,,,,,,3462175.0,,GA,22108575.0,1117803.0,333859.0,350299.0,,,,3904870.0,-42364.0,2023-12-31,,219.1,-26012050.0,4074.0,2023-01-01 00:00:00,,113.0,41245.0,94557.0,,945550.0,79971225.0,27363284.0,,38035.0,113.0,,,,13114248.0,,20929314.0,4602563.0,1.0,4361.0,2023,,46941364.0,,,-42364.0,0.1265262970628818,3395875.0,0.12410334227426796,3.4933436392638058,4.079608839840294,,-0.03789934362316079,-0.5541392022609313,-1.2428524890973494,2.2428524890973494,,46941364.0,1.307414280276936,5.945227474344186,for-profit
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,,,,,,9306940.0,1176633.0,,ME,54524126.0,20121342.0,393174.0,422521.0,,,,56709023.0,39038579.0,2023-09-30,,483.41,68948557.0,1666.0,2022-10-01 00:00:00,,68.0,24820.0,106481.0,82146.0,925698.0,87609076.0,63980475.0,,22026.0,68.0,,,,35644158.0,,109664101.0,6199334.0,1.0,1331.0,2023,,40715544.0,,,48345519.0,0.01839050116461311,-3545436.0,-0.05541434320392276,2.8183519270235555,2.7107959797114924,2.8089774528955376,1.9401578184993824,1.6934209942030984,0.6287249553069332,0.3712750446930669,,40715544.0,0.5834222358691473,10.320540077369602,non-profit
