Hospital,Hospital type,Control type,IPPS Interim payment,Cost of Uncompensated Care,Cost To Charge Ratio,Urban (1) and Rural (2) Indicator,Total Costs,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,IPPS Payment amount (unadjusted),Net Revenue from Medicaid,"Donations, Land Improvements",Total Charges,NUMBER OF BEDS: Total Hospital,Total Days,REIMBURSEMENT SETTLEMENT: Interim payments,Total Salaries,BED DAYS: Total Hospital,Total discharges,Total Bad Debt expense,Fiscal Year End Date,State,Total Days Title XVIII,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: ICU,Total cost of charity care,HVBP payment adjustment amount,Fiscal Year Begin Date,FTE Employees on Payroll,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,Medicaid charges,Number of Interns & Residents,NUMBER OF BEDS: Adults & Pediatrics,Beginning FFY
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,3285492.0,0.528495,2.0,32951005.0,,,2406430.0,,62348788.0,25.0,2822.0,2364841.0,17516821.0,9125.0,677.0,5249062.0,2015-09-30,SC,1509.0,2103895.0,6.0,588896.0,,2014-10-01 00:00:00,,,,11222784.0,7542689.0,169.01,19.0,2015
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,5457593.0,3225528.0,0.316988,2.0,35290660.0,,4808970.0,7135456.0,,111331159.0,44.0,6362.0,2984372.0,19489170.0,16060.0,1291.0,6100762.0,2015-12-31,LA,3313.0,3045749.0,6.0,1291660.0,9956.0,2015-01-01 00:00:00,,,14158692.0,5556750.0,17772796.0,313.25,38.0,2015
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,178986801.0,5566771.0,0.279544,1.0,770669016.0,,195141515.0,15346222.0,,2756881925.0,579.0,161048.0,45833652.0,480652697.0,211335.0,34754.0,11972531.0,2015-12-31,MN,60599.0,46763709.0,62.0,2200491.0,301785.0,2015-01-01 00:00:00,43.48,489637.0,293189049.0,-249795837.0,85495267.0,4984.56,517.0,2015
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,17908310.0,4420690.0,0.104815,2.0,92819150.0,,20395767.0,5597413.0,,885555489.0,180.0,27612.0,9345090.0,46366125.0,65880.0,5988.0,25628220.0,2016-08-31,TX,9699.0,9252878.0,36.0,1557241.0,-116093.0,2015-09-01 00:00:00,,,38076192.0,69646811.0,89737880.0,676.77,144.0,2015
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,107250681.0,10815561.0,0.19193,1.0,509104384.0,,118563848.0,41046531.0,,2652549733.0,562.0,128454.0,33427640.0,294798088.0,199463.0,26680.0,21701194.0,2016-06-30,PA,41221.0,36086420.0,42.0,6506801.0,-77311.0,2015-07-01 00:00:00,158.56,,217475147.0,749692850.0,273397656.0,3470.54,464.0,2015
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,2191611.0,0.342088,2.0,34952914.0,,,2280338.0,,102175263.0,25.0,4665.0,3584278.0,13935755.0,9125.0,1003.0,2041535.0,2015-09-30,IL,2189.0,3007594.0,,1488770.0,,2014-10-01 00:00:00,,,,50711907.0,15577345.0,227.73,25.0,2015
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,38462911.0,5385533.0,0.181251,1.0,203433122.0,,41096999.0,32200559.0,,1122381668.0,232.0,53556.0,11709771.0,74015907.0,84912.0,13097.0,14839801.0,2016-03-31,AZ,12157.0,11913560.0,31.0,2671848.0,-73627.0,2015-04-01 00:00:00,,,73755785.0,26636952.0,270394805.0,1102.6,201.0,2015
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,22262243.0,8943512.0,0.192923,1.0,142090556.0,,25718219.0,32869811.0,,736512997.0,168.0,36584.0,5518460.0,61522168.0,61488.0,9475.0,20109936.0,2016-03-31,AZ,6362.0,5509977.0,35.0,5020296.0,-37658.0,2015-04-01 00:00:00,,,57083032.0,19630664.0,275750209.0,892.44,133.0,2015
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,8286302.0,4566420.0,0.221787,1.0,77440878.0,,9424108.0,7020097.0,,349167814.0,127.0,18967.0,3328117.0,33223308.0,46355.0,5226.0,7822448.0,2015-09-30,AZ,3655.0,3337924.0,14.0,2815687.0,25461.0,2014-10-01 00:00:00,,,33069791.0,6478870.0,94771203.0,427.0,113.0,2015
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,21452136.0,7472174.0,0.161871,1.0,141427859.0,,24370223.0,30988888.0,,873705000.0,179.0,42909.0,5253042.0,60893336.0,65514.0,10949.0,19482656.0,2016-04-30,AZ,9103.0,5282352.0,20.0,4275565.0,-68644.0,2015-05-01 00:00:00,,155621.0,60596816.0,16446931.0,270394805.0,807.9,159.0,2015
