Hospital,Hospital type,Control type,IPPS Payment amount (unadjusted),Total Inpatient DaysOutpatient Visits: Total Hospital (S3_1_C8_14),S10 DATA: Cost of Uncompensated Care (S10_C1_30),"Donations, Land Improvements",REIMBURSEMENT SETTLEMENT: Payment to cost ratio,HAC reduction adjustment amount,HVBP payment adjustment amount,Total Salaries,State,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,"ADJUSTED SALARIES, Subtotal Salaries",IPPS Interim payment,S10 DATA: Net Revenue from Medicaid (S10_C1_2),S10 DATA: Cost of charity care (S10_C3_23),NUMBER OF BEDS: ICU,BED DAYS: Total Hospital,Total Charges,Total Costs,S10 DATA: Total Bad Debt expense (S10_C1_26),REIMBURSEMENT SETTLEMENT: Interim payments,Total Inpatient DaysOutpatient Visits: Total Facility FTEs (S3_1_C9_27),Total Inpatient DaysOutpatient Visits: Total discharges (S3_1_C15_14),Medicare Inpatient DaysOutpatient Visits: Total Hospital (S3_1_C6_14),S10 DATA: Medicaid charges (S10_C1_6),S10 DATA: Cost To Charge Ratio (S10_C1_1),Total Liabilities,Fiscal Year Begin Date,Fiscal Year End Date,Beginning FFY
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,2984.0,4860037.0,,,,,21874176.0,SC,1842429.0,25.0,,,1457342.0,1703999.0,6.0,9125.0,72182843.0,39500513.0,5893604.0,2384095.0,,454.0,1252.0,11693980.0,0.547229,15701131.0,2017-10-01 00:00:00,2018-09-30,2018
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,5025357.0,5661.0,1839310.0,,,59294.0,18099.0,24629781.0,LA,4081693.0,44.0,17884471.0,5445143.0,15002348.0,163650.0,6.0,16060.0,141629402.0,46028947.0,5152010.0,4000051.0,,1240.0,2997.0,46193797.0,0.324996,11655181.0,2018-01-01 00:00:00,2018-12-31,2018
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,226461890.0,165376.0,11906126.0,,,,225729.0,544885976.0,MN,56398192.0,599.0,325143405.0,209553717.0,20325974.0,6832148.0,62.0,218635.0,3231810651.0,855724598.0,18836283.0,55548660.0,42.5,34032.0,60196.0,96409744.0,0.264782,-310865081.0,2018-01-01 00:00:00,2018-12-31,2018
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,21585907.0,23960.0,5437600.0,,,,-121031.0,43697617.0,TX,8703953.0,196.0,35714472.0,19107992.0,7707314.0,3023715.0,36.0,71540.0,966638736.0,96532749.0,21966384.0,8815860.0,,5844.0,9110.0,85351945.0,0.099864,50499370.0,2018-09-01 00:00:00,2019-08-31,2018
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,136417382.0,134266.0,16364064.0,,,,212966.0,337168333.0,PA,32364094.0,592.0,249735669.0,126060033.0,46072570.0,14094276.0,33.0,212193.0,2723681150.0,615873796.0,9415729.0,29905660.0,158.82,27052.0,47401.0,282566795.0,0.226118,745286889.0,2018-07-01 00:00:00,2019-06-30,2018
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,4272.0,1073445.0,,,,,16455522.0,IL,2909311.0,25.0,,,2540308.0,392834.0,,9125.0,117485118.0,37328808.0,2064357.0,3623861.0,,890.0,2214.0,21191782.0,0.317732,46210148.0,2017-10-01 00:00:00,2018-09-30,2018
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,61147358.0,63445.0,5713105.0,,,,-285976.0,98832937.0,AZ,22448912.0,262.0,98445305.0,56582702.0,40490630.0,3812700.0,38.0,95630.0,2536192341.0,276760050.0,15738535.0,22142000.0,,15927.0,15627.0,462857387.0,0.109124,37616479.0,2018-04-01 00:00:00,2019-03-31,2018
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,21074724.0,32962.0,6447014.0,,,,-3352.0,54170658.0,AZ,3056926.0,144.0,51177870.0,19332400.0,34892034.0,4949675.0,28.0,52440.0,1076464179.0,117170986.0,11823158.0,3094218.0,17.92,7687.0,6183.0,435194193.0,0.108848,22122260.0,2018-04-01 00:00:00,2019-03-31,2018
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,11392737.0,21159.0,3738632.0,,,113597.0,-10611.0,34821258.0,AZ,3720757.0,127.0,34665702.0,10153839.0,15318184.0,2689150.0,14.0,46355.0,683756689.0,85446391.0,7546828.0,3643971.0,,5521.0,4229.0,189739171.0,0.124966,11027567.0,2017-10-01 00:00:00,2018-09-30,2018
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,30841897.0,51137.0,7470561.0,,,,-13024.0,72678725.0,AZ,7892333.0,179.0,72690849.0,28738651.0,38418511.0,5428109.0,20.0,65335.0,1857987067.0,171802098.0,19545068.0,7939165.0,,12134.0,11235.0,503583350.0,0.092467,19877305.0,2018-05-01 00:00:00,2019-04-30,2018
