Hospital,Hospital type,Control type,IPPS Interim payment,Cost of Uncompensated Care,Cost To Charge Ratio,Urban (1) and Rural (2) Indicator,Total Costs,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,IPPS Payment amount (unadjusted),Net Revenue from Medicaid,"Donations, Land Improvements",Total Charges,NUMBER OF BEDS: Total Hospital,Total Days,REIMBURSEMENT SETTLEMENT: Interim payments,Total Salaries,BED DAYS: Total Hospital,Total discharges,Total Bad Debt expense,Fiscal Year End Date,State,Total Days Title XVIII,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: ICU,Total cost of charity care,HVBP payment adjustment amount,Fiscal Year Begin Date,FTE Employees on Payroll,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,Medicaid charges,Number of Interns & Residents,NUMBER OF BEDS: Adults & Pediatrics,Beginning FFY
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,2299589.0,0.492893,2.0,47703169.0,,,258792.0,,96782032.0,25.0,3180.0,2924350.0,24480265.0,9125.0,515.0,4744487.0,2021-09-30,SC,1267.0,2460832.0,6.0,,,2020-10-01 00:00:00,,,,26760938.0,755442.0,155.8,19.0,2021
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,5833771.0,1594106.0,0.319406,2.0,54152890.0,,5099321.0,19334243.0,,169542404.0,44.0,6883.0,2759803.0,30167856.0,16060.0,1524.0,4891162.0,2021-12-31,LA,2415.0,2759879.0,6.0,30020.0,334.0,2021-01-01 00:00:00,,48989.0,21732464.0,12991530.0,58695649.0,379.1,38.0,2021
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,149349207.0,14180329.0,0.286649,1.0,1002756684.0,,157152575.0,18281047.0,,3498205900.0,577.0,164761.0,49854046.0,592723773.0,210605.0,31366.0,18933300.0,2021-12-31,MN,39649.0,49433440.0,73.0,8672105.0,225256.0,2021-01-01 00:00:00,49.4,,368547221.0,-276029847.0,100996090.0,5604.42,504.0,2021
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,134818988.0,10928932.0,0.252816,1.0,683767155.0,,145598123.0,56816229.0,,2704605456.0,588.0,147880.0,30091140.0,349749563.0,214620.0,27755.0,7921109.0,2022-06-30,PA,51575.0,31909829.0,33.0,8860794.0,52115.0,2021-07-01 00:00:00,167.23,,260881066.0,700970523.0,340246295.0,3844.04,499.0,2021
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,823578.0,0.271018,2.0,39534476.0,,,9120261.0,,145874090.0,25.0,5495.0,2430261.0,18501391.0,9125.0,926.0,1243744.0,2021-09-30,IL,2885.0,1867764.0,,394125.0,,2020-10-01 00:00:00,,,,-5461905.0,34864745.0,267.86,25.0,2021
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,57133623.0,5515015.0,0.084646,2.0,308678775.0,,66350893.0,45671495.0,,3646684805.0,270.0,69689.0,26089227.0,114450705.0,98550.0,15603.0,16764348.0,2022-03-31,AZ,14550.0,26187014.0,38.0,3912725.0,-9768.0,2021-04-01 00:00:00,39.15,,111968596.0,57294412.0,652531551.0,1122.1,232.0,2021
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,14381901.0,5768616.0,0.088169,2.0,116876239.0,,15669003.0,31733412.0,,1325595566.0,161.0,32810.0,3127209.0,60271938.0,58765.0,5985.0,9293826.0,2022-03-31,AZ,4484.0,3026038.0,28.0,4808852.0,-28617.0,2021-04-01 00:00:00,18.17,,51815859.0,23438405.0,530532856.0,503.2,133.0,2021
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,11361598.0,2984198.0,0.091253,1.0,99354611.0,,12612660.0,14113565.0,,1088783255.0,128.0,20912.0,11258501.0,33286232.0,46720.0,4345.0,6011544.0,2021-09-30,AZ,4151.0,11180288.0,14.0,2347976.0,50149.0,2020-10-01 00:00:00,,,33329421.0,32657075.0,226593472.0,379.5,114.0,2021
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,27934947.0,7095615.0,0.070246,1.0,182329827.0,,35328436.0,45403486.0,,2595589353.0,197.0,61133.0,8786969.0,82800725.0,71891.0,11959.0,19401897.0,2022-04-30,AZ,10345.0,8905022.0,20.0,5554851.0,20960.0,2021-05-01 00:00:00,31.22,,80771574.0,30815894.0,741044654.0,829.6,177.0,2021
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,8362649.0,969391.0,0.206596,1.0,47429993.0,,7817252.0,6969220.0,,229578441.0,113.0,8375.0,6785506.0,15162949.0,41245.0,1526.0,4027781.0,2021-09-30,LA,3845.0,6788538.0,4.0,57504.0,1182.0,2020-10-01 00:00:00,,,15889888.0,20420670.0,49235190.0,232.25,109.0,2021
ACADIA GREENLEAF HOSPITAL (114036),Psychiatric,Proprietary-Corporation,,,,1.0,18241252.0,,,,,67593840.0,113.0,35706.0,240597.0,9983852.0,41245.0,4061.0,,2021-12-31,GA,7546.0,200034.0,,,,2021-01-01 00:00:00,,,,2254125.0,,184.08,113.0,2021
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,,,,1.0,51152105.0,,,,,83033750.0,68.0,23342.0,460072.0,32592868.0,24820.0,1734.0,,2021-09-30,ME,2193.0,397853.0,,,,2020-10-01 00:00:00,,,,21495956.0,,483.41,68.0,2021
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,,,,1.0,27264812.0,,,,,102874943.0,140.0,43661.0,257996.0,19372617.0,51100.0,4087.0,,2021-12-31,AZ,2223.0,257996.0,,,,2021-01-01 00:00:00,,,,-10458373.0,,253.17,140.0,2021
ACADIA ST LANDRY HOSPITAL (191319),General Short Term (Critical Access Hospitals),Governmental-Hospital District,,239249.0,1.006923,2.0,16055682.0,,,2911601.0,,15945291.0,15.0,2065.0,2401589.0,5485663.0,5475.0,55.0,683566.0,2022-06-30,LA,1891.0,2570254.0,,,,2021-07-01 00:00:00,,,,21043119.0,2717513.0,98.31,15.0,2021
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,,,,1.0,13315535.0,,,,,54907833.0,78.0,24627.0,33257.0,7828950.0,28470.0,3238.0,,2021-12-31,LA,672.0,30058.0,,,,2021-01-01 00:00:00,,,,3903917.0,,150.9,78.0,2021
ACADIAN MEDICAL CENTER (190318),General Short Term (Acute Care Hospitals),Proprietary-Corporation,3330090.0,,0.144711,2.0,29349296.0,,3836307.0,10985497.0,,202813133.0,49.0,6380.0,2071315.0,13280251.0,17885.0,1540.0,,2021-09-30,LA,2057.0,2071445.0,6.0,,,2020-10-01 00:00:00,,,13194185.0,7767277.0,102936402.0,217.95,43.0,2021
ACCEL REHABILITATION HOSPITAL PLANO (673055),Rehabilitation,Proprietary-Corporation,,,,1.0,11478574.0,,,,,20762037.0,149.0,7482.0,,3982092.0,54385.0,608.0,,2021-12-31,TX,5978.0,,,,,2021-01-01 00:00:00,,,3600437.0,1961381.0,,52.02,149.0,2021
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Other,,,,1.0,5569551.0,,,,,16208940.0,36.0,5520.0,,3286952.0,13140.0,935.0,,2021-12-31,OH,693.0,,,,,2021-01-01 00:00:00,,,,3075557.0,,30.21,36.0,2021
ACHS CENTRAL JERSEY (312017),General Long Term,Proprietary-Corporation,,,,1.0,20961175.0,,,,,120765639.0,50.0,8299.0,87157.0,11982741.0,18250.0,234.0,,2022-08-31,NJ,5986.0,88287.0,,,,2021-09-01 00:00:00,,,,9986968.0,,95.28,50.0,2021
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental- Federal,,,,2.0,20684917.0,,,,,178835.0,6.0,8.0,1095175.0,8589601.0,2190.0,5.0,,2021-09-30,NM,,1713170.0,,,,2020-10-01 00:00:00,,,5535344.0,,,148.0,6.0,2021
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1861864.0,619549.0,0.497536,2.0,12469622.0,,1689969.0,,,25062771.0,30.0,2469.0,422145.0,8741223.0,10950.0,491.0,1175363.0,2022-06-30,OK,1299.0,423171.0,,57862.0,10962.0,2021-07-01 00:00:00,,,4938056.0,192000.0,8931818.0,132.19,30.0,2021
ADAIR COUNTY MEMORIAL HOSPITAL (161310),General Short Term (Critical Access Hospitals),Governmental-County,,378828.0,0.794194,2.0,16628550.0,,,1666728.0,,20937649.0,25.0,538.0,3801555.0,5424013.0,9125.0,95.0,409935.0,2022-06-30,IA,385.0,3733703.0,,59234.0,,2021-07-01 00:00:00,,,,19440675.0,2655892.0,70.46,25.0,2021
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,1772460.0,0.298171,2.0,29700103.0,,,5493493.0,,99607540.0,25.0,3988.0,2950315.0,11901605.0,9125.0,614.0,4872729.0,2021-12-31,OH,1960.0,2287005.0,,248235.0,,2021-01-01 00:00:00,,,,32806594.0,27930182.0,197.61,25.0,2021
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,,3362323.0,0.543818,1.0,62459696.0,,,6093391.0,,114853991.0,25.0,5132.0,6303842.0,34344770.0,9125.0,996.0,6192921.0,2021-12-31,IN,2139.0,6104457.0,4.0,33101.0,,2021-01-01 00:00:00,,,,36576961.0,18683230.0,401.49,21.0,2021
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,18799269.0,728025.0,0.544053,1.0,37101615.0,,19586600.0,6598468.0,,68194893.0,114.0,31025.0,1176647.0,18350823.0,41610.0,5378.0,1832857.0,2021-09-30,MA,14084.0,1186647.0,,,,2020-10-01 00:00:00,,,18248976.0,6888230.0,25636685.0,310.72,114.0,2021
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,45456185.0,13326494.0,0.235586,2.0,380068337.0,,48609494.0,54381968.0,,1613292466.0,209.0,44304.0,33781184.0,117183364.0,71405.0,9969.0,27424664.0,2021-12-31,OH,13162.0,32635942.0,12.0,6642548.0,40975.0,2021-01-01 00:00:00,43.82,,109422234.0,433895463.0,338087762.0,1740.35,197.0,2021
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,10897390.0,1924753.0,0.367475,2.0,108671460.0,,10178602.0,9917253.0,,295724576.0,83.0,7724.0,10401404.0,60435533.0,30295.0,1923.0,5085812.0,2021-12-31,NY,3035.0,10240874.0,8.0,60197.0,-1117.0,2021-01-01 00:00:00,,114091.0,45746205.0,61990096.0,42004518.0,653.57,75.0,2021
