Hospital,Hospital type,Control type,IPPS Interim payment,Cost of Uncompensated Care,Cost To Charge Ratio,Urban (1) and Rural (2) Indicator,Total Costs,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,IPPS Payment amount (unadjusted),Net Revenue from Medicaid,"Donations, Land Improvements",Total Charges,NUMBER OF BEDS: Total Hospital,Total Days,REIMBURSEMENT SETTLEMENT: Interim payments,Total Salaries,BED DAYS: Total Hospital,Total discharges,Total Bad Debt expense,Fiscal Year End Date,State,Total Days Title XVIII,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: ICU,Total cost of charity care,HVBP payment adjustment amount,Fiscal Year Begin Date,FTE Employees on Payroll,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,Medicaid charges,Number of Interns & Residents,NUMBER OF BEDS: Adults & Pediatrics,Beginning FFY
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,4521668.0,0.525693,2.0,40791538.0,,,234123.0,,77595760.0,25.0,2903.0,2234053.0,22153706.0,9125.0,465.0,8709657.0,2019-09-30,SC,1373.0,1911461.0,6.0,,,2018-10-01 00:00:00,,,,16640784.0,747699.0,161.75,19.0,2019
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,5108204.0,1684120.0,0.308672,2.0,47302947.0,,4958955.0,15429157.0,,153246531.0,44.0,5349.0,3874343.0,26428790.0,16060.0,1317.0,5164265.0,2019-12-31,LA,2604.0,3953306.0,6.0,86723.0,2114.0,2019-01-01 00:00:00,,58800.0,19099900.0,10960226.0,48820318.0,368.17,38.0,2019
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,168420915.0,15093118.0,0.268633,1.0,886056349.0,,181041414.0,20419284.0,,3298391060.0,608.0,166470.0,46250661.0,579069446.0,221920.0,34207.0,21749652.0,2019-12-31,MN,49840.0,46957442.0,63.0,9113731.0,585832.0,2019-01-01 00:00:00,42.85,,340713566.0,-326782463.0,96455651.0,5579.76,545.0,2019
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,21356280.0,6492723.0,0.10026,1.0,110984461.0,,23909356.0,7349497.0,,1106967606.0,196.0,26012.0,10131461.0,56617109.0,82712.0,6168.0,23592905.0,2020-10-26,TX,9638.0,9946215.0,36.0,3876550.0,24893.0,2019-09-01 00:00:00,,,40004725.0,30064220.0,98054270.0,475.1,160.0,2019
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,128891562.0,20487511.0,0.253901,1.0,670021014.0,,141703912.0,50565133.0,,2638911475.0,588.0,134974.0,26673831.0,365090894.0,215208.0,28794.0,32663377.0,2020-06-30,PA,45487.0,28824458.0,33.0,12031954.0,172304.0,2019-07-01 00:00:00,137.77,,295483865.0,949106943.0,295312849.0,4087.0,499.0,2019
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,1494123.0,0.287444,2.0,36475288.0,,,2526220.0,,126895235.0,25.0,4691.0,3520982.0,17625087.0,9125.0,759.0,2665786.0,2019-09-30,IL,2651.0,2347397.0,,662840.0,,2018-10-01 00:00:00,,,,4566975.0,29277560.0,288.08,25.0,2019
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,61610975.0,5933339.0,0.101779,1.0,298415413.0,,67089492.0,42938003.0,,2931985383.0,262.0,66238.0,23395162.0,101811700.0,95892.0,16457.0,16389931.0,2020-03-31,AZ,16166.0,23530546.0,38.0,4085749.0,-164196.0,2019-04-01 00:00:00,10.34,,101046149.0,30363540.0,515355986.0,1180.5,224.0,2019
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,19015820.0,6632256.0,0.098985,1.0,116954088.0,,20347518.0,32625531.0,,1181539235.0,140.0,31196.0,3462357.0,56653390.0,51240.0,7185.0,12026007.0,2020-03-31,AZ,5894.0,3368867.0,28.0,5261494.0,27606.0,2019-04-01 00:00:00,20.26,,54239901.0,20361443.0,457716522.0,633.0,112.0,2019
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,15862406.0,3120087.0,0.113258,1.0,95888337.0,,16900135.0,13400246.0,,846636537.0,120.0,19065.0,6159447.0,34007441.0,43800.0,5653.0,7974043.0,2019-09-30,AZ,4893.0,6179315.0,14.0,2116959.0,-6394.0,2018-10-01 00:00:00,,168719.0,33961161.0,15582860.0,189738102.0,411.1,106.0,2019
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,27188297.0,8671121.0,0.087646,1.0,177089574.0,,29621906.0,39234500.0,,2020520215.0,191.0,53345.0,7341104.0,75018945.0,69906.0,11966.0,21670629.0,2020-04-30,AZ,10445.0,7288733.0,20.0,6564233.0,-26530.0,2019-05-01 00:00:00,3.19,,74965126.0,43523730.0,554915220.0,878.6,171.0,2019
