Hospital,Hospital type,Control type,IPPS Interim payment,Cost of Uncompensated Care,Cost To Charge Ratio,Urban (1) and Rural (2) Indicator,Total Costs,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,IPPS Payment amount (unadjusted),Net Revenue from Medicaid,"Donations, Land Improvements",Total Charges,NUMBER OF BEDS: Total Hospital,Total Days,REIMBURSEMENT SETTLEMENT: Interim payments,Total Salaries,BED DAYS: Total Hospital,Total discharges,Total Bad Debt expense,Fiscal Year End Date,State,Total Days Title XVIII,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: ICU,Total cost of charity care,HVBP payment adjustment amount,Fiscal Year Begin Date,FTE Employees on Payroll,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,Medicaid charges,Number of Interns & Residents,NUMBER OF BEDS: Adults & Pediatrics,Beginning FFY
A.G. HOLLEY STATE HOSPITAL (102000),General Long Term,Governmental-State,,,,1.0,12197699.0,,,,,2207569.0,100.0,14241.0,,7626819.0,39700.0,95.0,,2012-07-31,FL,1546.0,,,,,2011-07-01 00:00:00,,,,11600664.0,,148.0,100.0,2011
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,2646374.0,0.497588,2.0,22846155.0,,,2268050.0,,45913823.0,25.0,2640.0,2318923.0,12469298.0,9125.0,723.0,5700820.0,2011-09-30,SC,1460.0,1809665.0,6.0,,,2010-10-01 00:00:00,,,,12623663.0,4973856.0,179.7,19.0,2011
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,5299275.0,2914958.0,0.414161,2.0,28823892.0,,5546253.0,9286631.0,,69595814.0,44.0,7751.0,2269401.0,16997019.0,16060.0,1606.0,5211785.0,2011-12-31,LA,4578.0,2081833.0,8.0,756440.0,,2011-01-01 00:00:00,,,13030531.0,6687642.0,14349385.0,305.7,36.0,2011
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,152855994.0,10395272.0,0.245132,1.0,686176376.0,,170244108.0,17387217.0,,2799212847.0,605.0,172390.0,24783902.0,387736036.0,220825.0,37343.0,11653047.0,2011-12-31,MN,59387.0,24830051.0,62.0,7528939.0,,2011-01-01 00:00:00,48.02,,253690433.0,-106810002.0,128770014.0,4400.68,543.0,2011
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,26053191.0,7037547.0,0.121378,1.0,88832937.0,,28388293.0,7982090.0,,731868086.0,180.0,32090.0,8213576.0,35905299.0,65880.0,7103.0,22723072.0,2012-08-31,TX,13425.0,8031897.0,36.0,4303217.0,,2011-09-01 00:00:00,,,36373000.0,95277396.0,79336944.0,640.39,144.0,2011
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,103979498.0,11357456.0,0.149903,1.0,486583638.0,,116287065.0,25966611.0,,3245982506.0,588.0,145756.0,24972603.0,272704400.0,204457.0,29265.0,22589097.0,2012-06-30,PA,47492.0,25012333.0,42.0,7988168.0,,2011-07-01 00:00:00,156.41,,206833240.0,616805973.0,218933532.0,3957.97,490.0,2011
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,1472610.0,0.490667,2.0,32461158.0,,,1885150.0,,66157243.0,25.0,4393.0,5282925.0,13085777.0,9125.0,1046.0,1547119.0,2011-09-30,IL,2524.0,5003504.0,,970934.0,,2010-10-01 00:00:00,,,,47185366.0,9833989.0,253.65,25.0,2011
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,,1210107.0,0.696042,2.0,9505296.0,,,2259427.0,,13656213.0,25.0,2022.0,1062502.0,3655154.0,9125.0,505.0,1746510.0,2011-09-30,LA,1506.0,1157786.0,,,,2010-10-01 00:00:00,,,3444516.0,536853.0,2117225.0,96.04,25.0,2011
ACADIA ABILENE PSYCH CENTER (454098),Psychiatric,Proprietary-Corporation,,,,1.0,8396131.0,,,,,27950205.0,60.0,17970.0,395681.0,4146836.0,21900.0,1680.0,,2011-12-31,TX,4843.0,395682.0,,,,2011-01-01 00:00:00,,,,,,102.4,60.0,2011
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,,-81609.0,0.564263,1.0,36484169.0,,,,,64658135.0,68.0,20222.0,1111711.0,25247122.0,25228.0,1450.0,,2012-09-29,ME,3570.0,1111733.0,,,,2011-09-25 00:00:00,,,,36411137.0,,457.0,68.0,2011
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,,312367.0,0.822054,2.0,10436152.0,,,850196.0,,12695210.0,25.0,2849.0,1677586.0,3608290.0,9150.0,77.0,744000.0,2012-06-30,LA,2727.0,1840729.0,,,,2011-07-01 00:00:00,,,3742343.0,859389.0,1023642.0,100.48,25.0,2011
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,,,,1.0,8192165.0,,,,,20777781.0,54.0,15308.0,270272.0,5114815.0,19710.0,2083.0,,2011-11-30,LA,3571.0,270273.0,,,,2010-12-01 00:00:00,,,,5332289.0,,106.39,54.0,2011
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental-Other,,,,1.0,,,,,,1.0,7.0,1305.0,,1.0,2555.0,263.0,,2011-09-30,NM,574.0,,,,,2010-10-01 00:00:00,,,,,,,7.0,2011
ACUITY HOSPITAL OF SOUTH TEXAS (452040),General Long Term,Proprietary-Partnership,,,,1.0,13611518.0,,,,,40102229.0,30.0,9411.0,543.0,5925164.0,10980.0,365.0,,2012-05-31,TX,7317.0,543.0,,,,2011-06-01 00:00:00,,,,10077941.0,,145.54,30.0,2011
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),General Long Term,Proprietary-Partnership,,,,1.0,10003024.0,,,,,69730444.0,30.0,4916.0,25128.0,3926767.0,7290.0,143.0,,2011-08-31,NJ,3869.0,25128.0,,,,2011-01-01 00:00:00,,,,6676135.0,,79.75,30.0,2011
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),General Long Term,Proprietary-Partnership,,,,1.0,14674136.0,,,,,105999641.0,30.0,7561.0,1283.0,6183419.0,10980.0,244.0,,2012-08-31,NJ,5553.0,1282.0,,,,2011-09-01 00:00:00,,,,5286354.0,,82.05,30.0,2011
ACUITY SPECIALTY HOSPITAL (362035),General Long Term,Proprietary-Partnership,,,,1.0,23107417.0,,,,,109255816.0,64.0,15650.0,30686.0,10076511.0,23360.0,631.0,,2011-12-31,OH,12445.0,30686.0,,,,2011-01-01 00:00:00,,,,7731485.0,,142.84,64.0,2011
ACUTE CARE SPECIALTY HOSPITAL (362032),General Long Term,Voluntary Nonprofit-Other,,,,1.0,8012291.0,,,,,17995810.0,27.0,5434.0,655.0,3653677.0,9855.0,218.0,,2011-09-30,OH,1988.0,655.0,,,,2010-10-01 00:00:00,,,3653677.0,2988459.0,,55.63,27.0,2011
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,4548466.0,320673.0,0.399646,2.0,10762163.0,,4727654.0,,,26929238.0,30.0,5666.0,571506.0,10544388.0,10980.0,1688.0,978448.0,2012-06-30,OK,3137.0,529229.0,,,,2011-07-01 00:00:00,,,5186293.0,972291.0,8770632.0,177.83,30.0,2011
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,,264618.0,0.88399,1.0,8776909.0,,,1064956.0,,9928748.0,25.0,809.0,1585628.0,3850303.0,9150.0,131.0,260817.0,2012-06-30,IA,623.0,1648775.0,,34058.0,,2011-07-01 00:00:00,,,,11478302.0,1224236.0,59.35,25.0,2011
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Governmental-County,,2726951.0,0.471263,2.0,23033441.0,,,3087930.0,,48875968.0,25.0,3431.0,4025612.0,9108493.0,9125.0,917.0,2954949.0,2011-12-31,OH,1998.0,3170603.0,,1373724.0,,2011-01-01 00:00:00,,,,34283564.0,10999011.0,222.86,25.0,2011
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,,-106726.0,0.421724,1.0,34642789.0,,,,,82145695.0,25.0,6464.0,1567966.0,18385908.0,9125.0,1576.0,,2011-12-31,IN,3548.0,1800242.0,4.0,,,2011-01-01 00:00:00,,,,42451050.0,,321.12,21.0,2011
