Hospital,Hospital type,Control type,Number of Interns & Residents,"Donations, Land Improvements",Net Revenue from Medicaid,BED DAYS: Total Hospital,Total discharges,NUMBER OF BEDS: Adults & Pediatrics,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,Total cost of charity care,HVBP payment adjustment amount,Urban (1) and Rural (2) Indicator,Total Bad Debt expense,NUMBER OF BEDS: ICU,Cost To Charge Ratio,IPPS Payment amount (unadjusted),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,Total Days Title XVIII,FTE Employees on Payroll,Total Costs,State,Cost of Uncompensated Care,Fiscal Year End Date,Total Salaries,Total Days,Total Charges,Fiscal Year Begin Date,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,HAC reduction adjustment amount,REIMBURSEMENT SETTLEMENT: Interim payments,IPPS Interim payment,Medicaid charges,FFY
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,175.58,,2123259.0,9150.0,649.0,19.0,1690083.0,25.0,406164.0,,2.0,4623521.0,6.0,0.489073,,,1280.0,,24128233.0,SC,2503646.0,2012-09-30,13360573.0,2710.0,49334629.0,2011-10-01 00:00:00,,11936224.0,,2210209.0,,6065885.0,2012
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,300.63,,6387241.0,16104.0,1375.0,36.0,2438269.0,44.0,1052289.0,788.0,2.0,5321114.0,8.0,0.425748,4677878.0,,3692.0,,30995009.0,LA,3317743.0,2012-12-31,17687845.0,6317.0,72801250.0,2012-01-01 00:00:00,13306976.0,5755405.0,,2706974.0,4505015.0,12145066.0,2012
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,4700.11,,13800493.0,221430.0,37437.0,543.0,27163102.0,605.0,7156815.0,-54203.0,1.0,13087400.0,62.0,0.26267,175030092.0,,58743.0,47.02,714438257.0,MN,10557848.0,2012-12-31,407967130.0,165966.0,2719910686.0,2012-01-01 00:00:00,263339115.0,-113316908.0,,27129839.0,157693300.0,105481166.0,2012
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,612.54,,6281031.0,69350.0,6699.0,144.0,8098555.0,180.0,389650.0,9892.0,1.0,23343332.0,36.0,0.128007,25597696.0,,12643.0,,93027426.0,TX,3334345.0,2013-08-31,35040936.0,29835.0,726739172.0,2012-09-01 00:00:00,36869371.0,86873030.0,,8135026.0,23416647.0,80805368.0,2012
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,3889.55,,25381206.0,213890.0,29497.0,490.0,28116556.0,586.0,4924102.0,-198491.0,1.0,22608700.0,40.0,0.164407,117179755.0,,46323.0,157.67,508788088.0,PA,8630632.0,2013-06-30,290022512.0,137266.0,3094681337.0,2012-07-01 00:00:00,217506813.0,574922123.0,,27816333.0,103978265.0,197052902.0,2012
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,249.0,,2423873.0,9150.0,1082.0,25.0,4460145.0,25.0,1872849.0,,2.0,782308.0,,0.442166,,,3035.0,,32053497.0,IL,1851277.0,2012-09-30,12962957.0,4715.0,72491964.0,2011-10-01 00:00:00,,48878717.0,,5847845.0,,12498457.0,2012
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,86.94,,1691167.0,9150.0,449.0,25.0,1054511.0,25.0,,,2.0,1828483.0,,0.662178,,,1379.0,,9174540.0,LA,1184952.0,2012-09-30,3722137.0,1912.0,13855105.0,2011-10-01 00:00:00,,531753.0,,1065898.0,,1965256.0,2012
ACADIA ABILENE PSYCH CENTER (454098),Psychiatric,Proprietary-Corporation,116.0,,,21960.0,2055.0,60.0,502323.0,60.0,,,1.0,,,,,,5366.0,,8574204.0,TX,,2012-12-31,4768585.0,19756.0,31943780.0,2012-01-01 00:00:00,,917320.0,,502323.0,,,2012
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,474.5,,,24752.0,1389.0,68.0,967719.0,68.0,,,1.0,,,,,,3658.0,,35700262.0,ME,,2013-09-28,24932315.0,19911.0,64158666.0,2012-09-30 00:00:00,,28114230.0,,990540.0,,,2012
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,115.7,,,21960.0,2459.0,60.0,64572.0,60.0,,,1.0,,,,,,2002.0,,9421657.0,AZ,,2012-12-31,7013548.0,17796.0,25380822.0,2012-01-01 00:00:00,,7638814.0,,64572.0,,,2012
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,100.93,,759593.0,9125.0,91.0,25.0,2099251.0,25.0,,,2.0,982153.0,,0.761196,,,3270.0,,11598940.0,LA,551414.0,2013-06-30,3789350.0,3418.0,15237777.0,2012-07-01 00:00:00,3940423.0,1045319.0,,2827305.0,,795158.0,2012
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,113.26,,,19764.0,2254.0,54.0,166321.0,54.0,,,1.0,,,,,,4377.0,,9271402.0,LA,,2012-11-30,5686944.0,17193.0,22885940.0,2011-12-01 00:00:00,,5564363.0,,166320.0,,,2012
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental- Federal,,,,,,,,,,,,,,,,,,,,NM,,2012-09-30,,,,2011-10-01 00:00:00,,,,,,,2012
ACUITY HOSPITAL OF SOUTH TEXAS (452040),General Long Term,Proprietary-Partnership,142.44,,,10950.0,314.0,30.0,2348.0,30.0,,,1.0,,,,,,6637.0,,15052302.0,TX,,2013-05-31,6435759.0,8423.0,45399355.0,2012-06-01 00:00:00,,9596038.0,,2305.0,,,2012
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),General Long Term,Proprietary-Partnership,86.05,,,10950.0,277.0,30.0,3571.0,30.0,,,1.0,,,,,,5082.0,,15229711.0,NJ,,2013-08-31,6644823.0,7475.0,105081217.0,2012-09-01 00:00:00,,4706886.0,,3558.0,,,2012
ACUITY SPECIALTY HOSPITAL (362035),General Long Term,Proprietary-Partnership,171.89,,,26352.0,772.0,72.0,20704.0,72.0,,,1.0,,,,,,13230.0,,25310866.0,OH,,2012-12-31,10687728.0,19698.0,121210366.0,2012-01-01 00:00:00,,5241485.0,,20704.0,,,2012
ACUTE CARE SPECIALTY HOSPITAL (362032),General Long Term,Voluntary Nonprofit-Other,55.4,,,10980.0,187.0,30.0,,30.0,,,1.0,,,,,,2112.0,,7338154.0,OH,,2012-09-30,3601806.0,5047.0,14442928.0,2011-10-01 00:00:00,3601806.0,3100417.0,,,,,2012
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,163.79,,,10950.0,1370.0,30.0,530442.0,30.0,412463.0,-4231.0,2.0,956229.0,,0.450174,4335642.0,,3008.0,,10700505.0,OK,744849.0,2013-06-30,9771664.0,5017.0,23769734.0,2012-07-01 00:00:00,4889721.0,898477.0,,548210.0,4108920.0,7623571.0,2012
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,60.55,,1094755.0,9125.0,122.0,25.0,1777615.0,25.0,67958.0,,1.0,343931.0,,0.84738,,,624.0,,9269306.0,IA,359398.0,2013-06-30,4045732.0,810.0,10938784.0,2012-07-01 00:00:00,,11203223.0,,1781925.0,,1416721.0,2012
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Governmental-County,209.17,,2806095.0,9150.0,676.0,25.0,3161310.0,25.0,1375299.0,,2.0,3221015.0,,0.468764,,,1396.0,,22401724.0,OH,2744258.0,2012-12-31,9353336.0,2705.0,47788968.0,2012-01-01 00:00:00,,33244478.0,,3403431.0,,11618115.0,2012
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,303.32,,1920223.0,9150.0,1627.0,21.0,2012705.0,25.0,157086.0,,1.0,7233935.0,4.0,0.429465,,,2949.0,,35004955.0,IN,3187960.0,2012-12-31,18306914.0,6488.0,81508206.0,2012-01-01 00:00:00,,43030837.0,,1711435.0,,6000375.0,2012
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,318.2,,5602584.0,41724.0,6161.0,114.0,1555863.0,114.0,77538.0,,1.0,3149000.0,,0.495178,22119981.0,,19999.0,,27205453.0,MA,948460.0,2012-09-30,15162957.0,37588.0,54940782.0,2011-10-01 00:00:00,15285336.0,6453767.0,,1577367.0,21082604.0,14605193.0,2012
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1710.31,,28558812.0,65148.0,12095.0,166.0,17362258.0,178.0,4145746.0,25819.0,2.0,24987416.0,12.0,0.269805,41365091.0,,16996.0,5.83,190431864.0,OH,10654436.0,2012-12-31,141787048.0,42382.0,705812208.0,2012-01-01 00:00:00,65016275.0,221480626.0,,17218249.0,37621580.0,135656352.0,2012
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,574.6,,14498872.0,30378.0,2523.0,75.0,7853445.0,83.0,122481.0,4478.0,2.0,3855260.0,8.0,0.499212,10295025.0,,5135.0,,79621439.0,NY,1903158.0,2012-12-31,40701891.0,11086.0,159494300.0,2012-01-01 00:00:00,33923985.0,30422840.0,,8137260.0,10132839.0,26812355.0,2012
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Governmental-State,731.31,,,31025.0,1803.0,,168805.0,85.0,,,1.0,,85.0,,378873.0,,530.0,,104052141.0,PR,,2013-06-30,79565872.0,25361.0,123853790.0,2012-07-01 00:00:00,39744063.0,404450252.0,,167862.0,296833.0,,2012
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,54.23,,,7300.0,236.0,20.0,1232.0,20.0,,,1.0,,,,,,3139.0,,9220334.0,NM,,2013-02-28,3882634.0,5751.0,20117790.0,2012-03-01 00:00:00,,83692276.0,,1232.0,,,2012
ADVANCE CARE HOSPITAL (042004),General Long Term,Voluntary Nonprofit-Church,40.21,,,9882.0,236.0,27.0,34.0,27.0,,,1.0,,,,,,3333.0,,5729706.0,AR,,2012-09-30,2249361.0,6859.0,17156483.0,2011-10-01 00:00:00,,1262000.0,,34.0,,,2012
ADVANCE CARE HOSPITAL (042008),General Long Term,Voluntary Nonprofit-Church,54.72,,,9150.0,245.0,25.0,61.0,25.0,,,1.0,,,,,,4006.0,,8217075.0,AR,,2012-11-30,3081771.0,6603.0,25598730.0,2011-12-01 00:00:00,,1367014.0,,61.0,,,2012
ADVANCED CARE HOSPITAL OF MONTANA (272001),General Long Term,Proprietary-Corporation,134.11,,,14600.0,368.0,40.0,14169.0,40.0,,,1.0,,,,,,5568.0,,15302079.0,MT,,2013-08-31,7457444.0,10356.0,29064841.0,2012-09-01 00:00:00,,129894876.0,,13885.0,,,2012
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),General Long Term,Proprietary-Other,67.23,,,9855.0,189.0,27.0,,27.0,,,2.0,,,,,,4471.0,,6819342.0,AR,,2012-09-30,2972631.0,5448.0,27421398.0,2011-10-01 00:00:00,,982189.0,,,,,2012
ADVANCED HEALTHCARE MEDICAL CENTER (261304),General Short Term (Critical Access Hospitals),Proprietary-Corporation,75.77,,1229268.0,9150.0,274.0,25.0,1461886.0,25.0,5716.0,,2.0,548968.0,,0.732683,,,816.0,,10960161.0,MO,291342.0,2012-12-31,6861756.0,1131.0,14958933.0,2012-01-01 00:00:00,,5021881.0,,1207764.0,,2614237.0,2012
ADVANCED SPECIALTY HOSP. OF TOLEDO (362038),General Long Term,Proprietary-Partnership,85.95,,,14600.0,355.0,40.0,1639.0,40.0,,,1.0,,,,,,3672.0,1.0,13005479.0,OH,,2013-02-28,4809690.0,8757.0,36637214.0,2012-03-01 00:00:00,,3507843.0,,1639.0,,,2012
ADVANCED SPECIALTY OF GREENBRIAR (363032),Rehabilitation,Proprietary-Corporation,23.74,,,10614.0,309.0,29.0,,29.0,,,1.0,,,,,,2441.0,,2939421.0,OH,,2012-12-31,1052417.0,3468.0,5341602.0,2012-01-01 00:00:00,,157596.0,,,,,2012
ADVANCED SURGICAL HOSPITAL (390323),General Short Term (Acute Care Hospitals),Proprietary-Corporation,72.71,,13741.0,5124.0,427.0,14.0,629075.0,14.0,610.0,1756.0,1.0,,,0.241863,1229405.0,,312.0,,12184116.0,PA,610.0,2012-12-31,3718208.0,1222.0,50376109.0,2012-01-01 00:00:00,3944919.0,3354876.0,,628540.0,1030600.0,42804.0,2012
ADVENTIST BEHAVIORAL HEALTH (214013),Psychiatric,Voluntary Nonprofit-Church,408.33,,,39162.0,3959.0,107.0,47101.0,107.0,,,1.0,,,0.46962,,,6057.0,1.07,17040207.0,MD,-37001.0,2012-12-31,24130153.0,29190.0,36285081.0,2012-01-01 00:00:00,12512485.0,12995557.0,,47102.0,,,2012
ADVENTIST BOLINGBROOK HOSPITAL (140304),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,472.46,,6889604.0,50508.0,5487.0,126.0,3593073.0,138.0,3944600.0,-422.0,1.0,6626170.0,12.0,0.215762,17699139.0,,7486.0,,85317389.0,IL,5276387.0,2012-12-31,34910226.0,20348.0,395424008.0,2012-01-01 00:00:00,37030397.0,114276088.0,,3745097.0,16114056.0,79991187.0,2012
ADVENTIST GLENOAKS HOSPITAL (140292),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,484.61,,8760840.0,44286.0,4601.0,111.0,1846160.0,121.0,3641140.0,-2440.0,1.0,4830629.0,10.0,0.286511,15098825.0,,10129.0,,64849870.0,IL,4877576.0,2012-12-31,35325540.0,25096.0,226343283.0,2012-01-01 00:00:00,29182963.0,24941107.0,,2070164.0,13882632.0,63621991.0,2012
ADVENTIST HEALTH GLENDALE (050239),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,1852.86,,34464769.0,134444.0,17029.0,309.0,13817754.0,365.0,2473912.0,-16824.0,1.0,6805970.0,10.0,0.181155,99037681.0,,34535.0,20.39,348421277.0,CA,4185103.0,2012-12-31,141825786.0,82857.0,1923331462.0,2012-01-01 00:00:00,129543613.0,249509311.0,,14597794.0,93502424.0,378674970.0,2012
ADVENTIST HEALTH REEDLEY (050192),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,240.51,,11953307.0,17934.0,2131.0,49.0,768553.0,49.0,103544.0,-702.0,2.0,3138925.0,,0.284373,1654151.0,,974.0,,29955025.0,CA,972921.0,2012-12-31,13320873.0,6269.0,105337057.0,2012-01-01 00:00:00,13557233.0,30914236.0,,1360590.0,1453812.0,53731539.0,2012
ADVENTIST HINSDALE HOSPITAL (140122),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,1728.15,,682696.0,89670.0,11744.0,186.0,14505173.0,245.0,2849590.0,164.0,1.0,6168794.0,59.0,0.263079,41403099.0,,19144.0,26.54,247224658.0,IL,4372272.0,2012-12-31,109633642.0,50975.0,939734890.0,2012-01-01 00:00:00,91441126.0,232570433.0,,14527385.0,38371875.0,67622788.0,2012
ADVENTIST LAGRANGE MEMORIAL HOSPITAL (140065),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,808.74,,4679883.0,68808.0,8490.0,161.0,11428604.0,188.0,3120589.0,7658.0,1.0,4283021.0,27.0,0.238458,45417797.0,,25217.0,19.63,137433973.0,IL,4035045.0,2012-10-31,60794993.0,39423.0,576345162.0,2011-11-01 00:00:00,58595019.0,179252638.0,,11511895.0,41869649.0,40002620.0,2012
ADVENTIST MEDICAL CENTER-PORTLAND (380060),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,1493.87,,25144344.0,63684.0,9881.0,162.0,6854699.0,174.0,2385193.0,-6511.0,1.0,27093511.0,12.0,0.2973,25628588.0,,6951.0,,192892741.0,OR,10442737.0,2012-12-31,120623109.0,29980.0,648814667.0,2012-01-01 00:00:00,74798653.0,92127308.0,,7031259.0,23737408.0,93263987.0,2012
ADVENTIST REHAB. HOSPT. OF MD (213029),Rehabilitation,Proprietary-Corporation,282.33,,,28182.0,1589.0,77.0,36.0,77.0,,,1.0,,,0.522051,,,12415.0,,30863187.0,MD,-7298.0,2012-12-31,17700857.0,21385.0,59119060.0,2012-01-01 00:00:00,17581473.0,7549302.0,,36.0,,,2012
ADVOCATE CHRIST HOSPITAL (140208),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,4884.0,,97922597.0,220859.0,39309.0,487.0,28376572.0,612.0,25978578.0,81874.0,1.0,47536457.0,125.0,0.283858,203084345.0,,64270.0,218.05,731192428.0,IL,38594998.0,2012-12-31,319335505.0,189675.0,2575907238.0,2012-01-01 00:00:00,292906994.0,2956222000.0,,28237209.0,192341274.0,505293823.0,2012
ADVOCATE EUREKA HOSPITAL (141309),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,120.63,,1419256.0,8418.0,387.0,23.0,1988571.0,23.0,461774.0,,2.0,508000.0,,0.465367,,,1398.0,,11968822.0,IL,649248.0,2012-12-31,5299877.0,1771.0,25719105.0,2012-01-01 00:00:00,,2956222000.0,,2125656.0,,2574139.0,2012
ADVOCATE GOOD SAMARITAN HOSPITAL (140288),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,1876.0,,11751305.0,106140.0,16022.0,235.0,16784970.0,290.0,6640037.0,21823.0,1.0,15777756.0,55.0,0.251311,65246884.0,,29786.0,,305372330.0,IL,10406746.0,2012-12-31,126612565.0,69050.0,1215115651.0,2012-01-01 00:00:00,118429332.0,2956222000.0,,16994065.0,59998633.0,94022088.0,2012
ADVOCATE LUTHERAN GENERAL HOSPITAL (140223),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,3320.18,,34140331.0,193248.0,26765.0,413.0,29080042.0,528.0,12145626.0,55215.0,1.0,14139000.0,29.0,0.283666,131224244.0,,44692.0,202.51,519425348.0,IL,15565804.0,2012-12-31,226331028.0,130558.0,1831115053.0,2012-01-01 00:00:00,203763557.0,2956222000.0,,28785306.0,120626633.0,263977346.0,2012
ADVOCATE NORTHSIDE HEALTH SYSTEM (140182),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,2001.0,,64049053.0,101382.0,14145.0,155.0,13829569.0,277.0,10080986.0,17784.0,1.0,13067093.0,79.0,0.226165,51726715.0,,14279.0,184.97,274934152.0,IL,12564185.0,2012-12-31,134119090.0,61440.0,1215633197.0,2012-01-01 00:00:00,113830881.0,98171000.0,,14329008.0,51099468.0,253915799.0,2012
ADVOCATE TRINITY HOSPITAL (140048),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,945.0,,25296754.0,68808.0,12032.0,163.0,4971312.0,188.0,6366582.0,10411.0,1.0,8468558.0,25.0,0.269087,39871346.0,,19114.0,3.0,138745430.0,IL,8276723.0,2012-12-31,58722450.0,47661.0,515615836.0,2012-01-01 00:00:00,59182394.0,2956222000.0,,5794017.0,36961754.0,129576396.0,2012
AFFINITY MEDICAL CENTER (360151),General Short Term (Acute Care Hospitals),Proprietary-Corporation,527.24,,7873070.0,43154.0,5027.0,97.0,4283138.0,118.0,-122383.0,11053.0,1.0,9024456.0,21.0,0.200183,17287712.0,,7703.0,17.2,80887629.0,OH,1626298.0,2013-06-30,33114049.0,21056.0,404067621.0,2012-07-01 00:00:00,30076288.0,80163293.0,,4249040.0,16245091.0,51589493.0,2012
