Hospital,Hospital type,Control type,NUMBER OF BEDS: Adults & Pediatrics,REIMBURSEMENT SETTLEMENT: Interim payments,HVBP payment adjustment amount,BED DAYS: Total Hospital,REIMBURSEMENT SETTLEMENT: Subtotal,Total Days Title XVIII,"ADJUSTED SALARIES, Subtotal Salaries",REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"Donations, Land Improvements",Total cost of charity care,Total Salaries,Total Bad Debt expense,Total Charges,Cost To Charge Ratio,Net Revenue from Medicaid,Total Liabilities,Medicaid charges,Total Costs,Total discharges,IPPS Payment amount (unadjusted),State,Number of Interns & Residents,Total Days,NUMBER OF BEDS: Total Hospital,Cost of Uncompensated Care,Fiscal Year Begin Date,NUMBER OF BEDS: ICU,FTE Employees on Payroll,Urban (1) and Rural (2) Indicator,HAC reduction adjustment amount,IPPS Interim payment,Fiscal Year End Date,FFY
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,19.0,2163928.0,,9125.0,1663920.0,1393.0,,,,,20576692.0,6734697.0,91198882.0,0.481072,240769.0,14646874.0,1035133.0,43873254.0,503.0,,SC,153.34,2907.0,25.0,3220730.0,2021-10-01 00:00:00,6.0,,2.0,,,2022-09-30,2022
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,38.0,3134525.0,,16060.0,3177566.0,2086.0,22575006.0,,,54057.0,31790359.0,4622560.0,176630490.0,0.326454,20790807.0,10593420.0,60604341.0,57661718.0,1442.0,4186506.0,LA,405.0,6577.0,44.0,1563924.0,2022-01-01 00:00:00,6.0,,2.0,,4568074.0,2022-12-31,2022
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,512.0,44449627.0,,214012.0,44669312.0,38042.0,363600953.0,,,9892411.0,593882723.0,20394749.0,3520469884.0,0.307218,12250069.0,-53053782.0,70379317.0,1081552866.0,30158.0,145312235.0,MN,5260.55,169064.0,586.0,16200657.0,2022-01-01 00:00:00,74.0,50.38,1.0,,132767126.0,2022-12-31,2022
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,25.0,2842170.0,,9125.0,2225317.0,2951.0,,,,436198.0,20973858.0,2189614.0,159018623.0,0.285009,9889342.0,23058237.0,38213731.0,45321665.0,600.0,,IL,277.43,6063.0,25.0,1165992.0,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,232.0,24777094.0,,98550.0,25120229.0,13081.0,111054287.0,,,4424715.0,114700671.0,19274202.0,3905304565.0,0.084363,44989551.0,52734805.0,710662631.0,329462659.0,14966.0,68334843.0,AZ,1129.4,64869.0,270.0,6197835.0,2022-04-01 00:00:00,38.0,44.79,2.0,,59894073.0,2023-03-31,2022
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,125.0,1845497.0,,55989.0,1735960.0,3420.0,43316717.0,,,4375490.0,46198972.0,9593231.0,1180425449.0,0.091464,25650669.0,17276339.0,479485481.0,107966459.0,5047.0,12307730.0,AZ,431.01,26829.0,153.0,5383965.0,2022-04-01 00:00:00,28.0,15.02,2.0,,10918604.0,2023-03-31,2022
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,114.0,10501207.0,,46720.0,10490803.0,3819.0,35725325.0,,,3088307.0,35871163.0,7438682.0,1166521554.0,0.089814,12434269.0,27598183.0,239763402.0,104769983.0,4105.0,11657767.0,AZ,337.9,18415.0,128.0,3819474.0,2021-10-01 00:00:00,14.0,,1.0,,10152387.0,2022-09-30,2022
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,50.0,6257193.0,,19710.0,6306620.0,3144.0,16680065.0,,,57763.0,15616399.0,3651626.0,211815554.0,0.227753,6305529.0,17693851.0,44472871.0,48241722.0,1495.0,6714342.0,LA,223.95,7203.0,54.0,986932.0,2021-10-01 00:00:00,4.0,,1.0,,7321609.0,2022-09-30,2022
ACADIA GREENLEAF HOSPITAL (114036),Psychiatric,Proprietary-Corporation,113.0,356198.0,,41245.0,313368.0,6154.0,,,,,11588592.0,,71094600.0,,,-25249218.0,,20139102.0,3801.0,,GA,170.24,37947.0,113.0,,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,68.0,480735.0,,24820.0,445279.0,2090.0,,,,,33635504.0,,87520986.0,,,20677428.0,,53705228.0,1367.0,,ME,476.41,22909.0,68.0,,2021-10-01 00:00:00,,,1.0,,,2022-09-30,2022
