Hospital,Hospital type,Control type,Total Days,State,REIMBURSEMENT SETTLEMENT: Subtotal,Total Days Title XVIII,Cost of Uncompensated Care,NUMBER OF BEDS: Total Hospital,"ADJUSTED SALARIES, Subtotal Salaries",IPPS Payment amount (unadjusted),Medicaid charges,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,Fiscal Year End Date,NUMBER OF BEDS: ICU,BED DAYS: Total Hospital,Fiscal Year Begin Date,Total Liabilities,Net Revenue from Medicaid,Total Salaries,Total Costs,Number of Interns & Residents,Urban (1) and Rural (2) Indicator,HVBP payment adjustment amount,FTE Employees on Payroll,Total discharges,Total Bad Debt expense,IPPS Interim payment,"Donations, Land Improvements",Cost To Charge Ratio,REIMBURSEMENT SETTLEMENT: Interim payments,Total Charges,Total cost of charity care,NUMBER OF BEDS: Adults & Pediatrics,HAC reduction adjustment amount,FFY
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,2973.0,SC,2309624.0,1542.0,3530747.0,25.0,,,11517367.0,,2016-09-30,6.0,9150.0,2015-10-01 00:00:00,17627122.0,1527643.0,19734022.0,35587147.0,162.01,2.0,,,586.0,5412617.0,,,0.552522,2139066.0,64408513.0,617929.0,19.0,,2016
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,6026.0,LA,3203968.0,3283.0,2757133.0,44.0,15640719.0,5114872.0,27284802.0,,2016-12-31,6.0,16104.0,2016-01-01 00:00:00,10232801.0,9035194.0,21157779.0,37930613.0,332.8,2.0,13188.0,,1262.0,5846742.0,5304569.0,,0.323341,3138380.0,117308444.0,866642.0,38.0,,2016
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,163699.0,MN,47519944.0,60432.0,7651142.0,577.0,289025666.0,205304861.0,97652795.0,,2016-12-31,62.0,211182.0,2016-01-01 00:00:00,-235258807.0,20007081.0,512509728.0,870048520.0,5191.98,1.0,616185.0,42.35,34785.0,18135688.0,186209097.0,,0.306395,46701811.0,2839627925.0,2057724.0,515.0,1483660.0,2016
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,28413.0,TX,9937037.0,10583.0,4219788.0,184.0,37284659.0,23392976.0,87036217.0,,2017-08-31,36.0,67160.0,2016-09-01 00:00:00,64823909.0,5318816.0,45661381.0,99924238.0,659.71,1.0,-121236.0,,6133.0,21711618.0,20824355.0,,0.107601,9962352.0,928653585.0,1687390.0,148.0,,2016
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,132316.0,PA,36022574.0,46208.0,9027789.0,567.0,236447256.0,128354135.0,277261625.0,,2017-06-30,33.0,207412.0,2016-07-01 00:00:00,710300041.0,42249564.0,317650968.0,539019916.0,3589.0,1.0,-483960.0,156.88,27295.0,9746361.0,116074117.0,,0.200586,33386873.0,2687224934.0,6968231.0,483.0,,2016
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,4012.0,IL,2928254.0,1892.0,3156299.0,25.0,,,24260829.0,,2016-09-30,,9150.0,2015-10-01 00:00:00,47212816.0,3463936.0,14795479.0,35796818.0,259.98,2.0,,,915.0,1168621.0,,,0.333057,3756516.0,107479591.0,2757897.0,25.0,,2016
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,65550.0,AZ,19287847.0,16348.0,5473229.0,262.0,92278906.0,62071250.0,301156044.0,,2017-03-31,38.0,95630.0,2016-04-01 00:00:00,23596488.0,40520584.0,92716128.0,271905196.0,1164.6,1.0,-184422.0,,15821.0,13225316.0,58950281.0,,0.171159,18915534.0,1588610370.0,3161990.0,224.0,,2016
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,29967.0,AZ,2839158.0,4901.0,5601593.0,125.0,45830897.0,18281914.0,266311484.0,,2017-03-31,28.0,45625.0,2016-04-01 00:00:00,13503040.0,30655519.0,48576631.0,112776306.0,577.59,1.0,-68298.0,16.82,7265.0,9077486.0,15009386.0,,0.185179,2878025.0,609011932.0,3871868.0,97.0,,2016
ABRAZO MARYVALE CAMPUS (030001),General Short Term (Acute Care Hospitals),Proprietary-Corporation,13736.0,AZ,795265.0,2212.0,3787447.0,228.0,23183771.0,6077259.0,171706184.0,,2016-12-31,16.0,83448.0,2016-01-01 00:00:00,5316307.0,17549959.0,23328253.0,47189643.0,307.6,1.0,904.0,,3263.0,6145630.0,5155283.0,,0.148203,819348.0,318412083.0,2829264.0,212.0,,2016
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,22055.0,AZ,2956567.0,4067.0,4104172.0,127.0,35405799.0,10582781.0,120197308.0,,2016-09-30,14.0,46482.0,2015-10-01 00:00:00,5920469.0,15071348.0,35313777.0,83497015.0,440.4,1.0,17264.0,,5863.0,7766310.0,9483063.0,,0.199126,2925227.0,419317541.0,2539557.0,113.0,,2016
