Hospital,Hospital type,Control type,IPPS Payment amount (unadjusted),Total Inpatient DaysOutpatient Visits: Total Hospital (S3_1_C8_14),S10 DATA: Cost of Uncompensated Care (S10_C1_30),"Donations, Land Improvements",REIMBURSEMENT SETTLEMENT: Payment to cost ratio,HAC reduction adjustment amount,HVBP payment adjustment amount,Total Salaries,State,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,"ADJUSTED SALARIES, Subtotal Salaries",IPPS Interim payment,S10 DATA: Net Revenue from Medicaid (S10_C1_2),S10 DATA: Cost of charity care (S10_C3_23),NUMBER OF BEDS: ICU,BED DAYS: Total Hospital,Total Charges,Total Costs,S10 DATA: Total Bad Debt expense (S10_C1_26),REIMBURSEMENT SETTLEMENT: Interim payments,Total Inpatient DaysOutpatient Visits: Total Facility FTEs (S3_1_C9_27),Total Inpatient DaysOutpatient Visits: Total discharges (S3_1_C15_14),Medicare Inpatient DaysOutpatient Visits: Total Hospital (S3_1_C6_14),S10 DATA: Medicaid charges (S10_C1_6),S10 DATA: Cost To Charge Ratio (S10_C1_1),Total Liabilities,Fiscal Year Begin Date,Fiscal Year End Date,Beginning FFY
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,2307.0,2556015.0,,,,,14239745.0,SC,1942525.0,7.0,,,2151889.0,434627.0,6.0,9125.0,52880739.0,26164657.0,4653241.0,2240167.0,,549.0,1175.0,6971954.0,0.494786,11865332.0,2012-10-01 00:00:00,2013-09-30,2013
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,4736280.0,5782.0,3331761.0,,,,6895.0,18077538.0,LA,2480405.0,44.0,13590950.0,4836730.0,6895212.0,899721.0,8.0,16060.0,82869626.0,33260201.0,6059557.0,2439632.0,,1198.0,3308.0,14956318.0,0.401356,6415179.0,2013-01-01 00:00:00,2013-12-31,2013
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,176340864.0,165487.0,6896930.0,,,,-91825.0,437106309.0,MN,30113071.0,583.0,279991663.0,162967110.0,13922399.0,2378631.0,62.0,212795.0,2640672755.0,744765305.0,16379027.0,29936998.0,49.03,38359.0,57520.0,97900739.0,0.282036,-138123183.0,2013-01-01 00:00:00,2013-12-31,2013
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,23427510.0,27590.0,2367073.0,,,,-23937.0,44056732.0,TX,9225660.0,180.0,33698489.0,20624477.0,5246785.0,349052.0,36.0,65700.0,772291358.0,86022765.0,18349225.0,9138102.0,,5852.0,11405.0,76670676.0,0.111386,104938788.0,2013-09-01 00:00:00,2014-08-31,2013
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,112309079.0,127392.0,9178646.0,,,,-184460.0,277297742.0,PA,32528686.0,553.0,200653682.0,96959251.0,33353994.0,5292154.0,40.0,202486.0,2847165095.0,508207084.0,21857000.0,31460592.0,157.94,26308.0,42371.0,253557514.0,0.178496,598689643.0,2013-07-01 00:00:00,2014-06-30,2013
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,5213.0,1471800.0,,,,,13149801.0,IL,4023786.0,25.0,,,2250668.0,1076736.0,,9125.0,81224795.0,32693503.0,1621751.0,5362061.0,,1114.0,3412.0,13448347.0,0.402506,50383790.0,2012-10-01 00:00:00,2013-09-30,2013
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,,1776.0,-2753.0,,,,,3760057.0,LA,1045610.0,25.0,,,1580709.0,,,9125.0,13991075.0,8907586.0,,1097609.0,,394.0,1308.0,2218690.0,0.636662,455589.0,2012-10-01 00:00:00,2013-09-30,2013
ACADIA ABILENE PSYCH CENTER (454098),Psychiatric,Proprietary-Corporation,,22591.0,,,,,,5315948.0,TX,535531.0,92.0,,,,,,33580.0,35210450.0,9199862.0,,527376.0,,1902.0,4407.0,,,719673.0,2013-01-01 00:00:00,2013-12-31,2013
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,,20396.0,,,,,,24989935.0,ME,1253337.0,68.0,,,,,,24752.0,67202918.0,36359348.0,,1295398.0,,1485.0,4442.0,,,33100044.0,2013-09-29 00:00:00,2014-09-27,2013
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,,21413.0,,,,,,9506689.0,AZ,59335.0,72.0,,,,,,25794.0,30880630.0,12100675.0,,58444.0,,2557.0,1923.0,,,688754.0,2013-01-01 00:00:00,2013-12-31,2013
