Hospital,Hospital type,Control type,IPPS Interim payment,Cost of Uncompensated Care,Cost To Charge Ratio,Urban (1) and Rural (2) Indicator,Total Costs,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,IPPS Payment amount (unadjusted),Net Revenue from Medicaid,"Donations, Land Improvements",Total Charges,NUMBER OF BEDS: Total Hospital,Total Days,REIMBURSEMENT SETTLEMENT: Interim payments,Total Salaries,BED DAYS: Total Hospital,Total discharges,Total Bad Debt expense,Fiscal Year End Date,State,Total Days Title XVIII,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: ICU,Total cost of charity care,HVBP payment adjustment amount,Fiscal Year Begin Date,FTE Employees on Payroll,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,Medicaid charges,Number of Interns & Residents,NUMBER OF BEDS: Adults & Pediatrics,Beginning FFY
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,3781992.0,0.532982,2.0,38006225.0,,,1531139.0,,71308600.0,25.0,2679.0,2487583.0,20984111.0,9125.0,419.0,5893604.0,2017-09-30,SC,1242.0,1909584.0,6.0,714619.0,,2016-10-01 00:00:00,,,,17402461.0,12106951.0,156.24,19.0,2017
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,5756252.0,1573390.0,0.300391,2.0,41427498.0,,5640925.0,15146444.0,,137911705.0,44.0,6161.0,3486922.0,23399009.0,16060.0,1396.0,4718475.0,2017-12-31,LA,3082.0,3560266.0,6.0,156003.0,12823.0,2017-01-01 00:00:00,,18435.0,17045265.0,12503045.0,44856354.0,350.58,38.0,2017
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,200335388.0,11361624.0,0.274916,1.0,818094604.0,,217823452.0,18244951.0,,2975800257.0,592.0,163573.0,48310449.0,524871619.0,216080.0,34712.0,19218204.0,2017-12-31,MN,60544.0,49049153.0,62.0,6021312.0,582616.0,2017-01-01 00:00:00,42.08,,313100603.0,-247163298.0,88310834.0,5237.67,530.0,2017
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,20151417.0,4456411.0,0.106262,1.0,100877332.0,,22395982.0,5080818.0,,949330350.0,196.0,24140.0,9671968.0,43097104.0,70810.0,5700.0,20543554.0,2018-08-31,TX,9845.0,9577070.0,36.0,2072818.0,-51905.0,2017-09-01 00:00:00,,,35863743.0,44537826.0,77566606.0,602.63,160.0,2017
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,120557309.0,11663221.0,0.220388,1.0,588802789.0,,131799228.0,46935951.0,,2671661982.0,565.0,129884.0,37176533.0,325337574.0,210071.0,26471.0,18122494.0,2018-06-30,PA,45051.0,40335668.0,31.0,7545392.0,-255157.0,2017-07-01 00:00:00,159.63,,237078826.0,638727119.0,270706241.0,3719.07,478.0,2017
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,967524.0,0.331436,2.0,36530095.0,,,3423452.0,,110217653.0,25.0,3744.0,3418849.0,15557883.0,9125.0,896.0,988515.0,2017-09-30,IL,1669.0,3143839.0,,627368.0,,2016-10-01 00:00:00,,,,46292739.0,23316996.0,266.7,25.0,2017
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,58770861.0,5617548.0,0.134816,1.0,270765627.0,,62402956.0,39492703.0,,2008406723.0,262.0,64013.0,20747018.0,96985606.0,95630.0,15644.0,14318640.0,2018-03-31,AZ,16217.0,21149826.0,38.0,3557940.0,-232119.0,2017-04-01 00:00:00,,,96541534.0,26691803.0,367910975.0,1201.5,224.0,2017
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,16568745.0,5502644.0,0.133814,1.0,111658475.0,,19382307.0,35900838.0,,834433057.0,129.0,32546.0,3016514.0,52413136.0,44086.0,7851.0,9826572.0,2018-03-31,AZ,5664.0,2969109.0,28.0,4063250.0,-69027.0,2017-04-01 00:00:00,17.07,,49595072.0,14050891.0,360500610.0,610.0,101.0,2017
ABRAZO MARYVALE CAMPUS (030001),General Short Term (Acute Care Hospitals),Proprietary-Corporation,1821637.0,269042.0,0.138428,1.0,15340063.0,,2015217.0,6052724.0,,110816518.0,228.0,4982.0,277606.0,7586247.0,27360.0,1197.0,1739185.0,2017-04-30,AZ,731.0,273738.0,16.0,23227.0,-4235.0,2017-01-01 00:00:00,,,7525611.0,4963242.0,62040991.0,304.3,212.0,2017
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,10462618.0,4164579.0,0.171058,1.0,87593757.0,,11664151.0,16089522.0,,512072002.0,127.0,22779.0,3119378.0,36090542.0,46355.0,6274.0,7236091.0,2017-09-30,AZ,4400.0,3183564.0,14.0,2901823.0,-3646.0,2016-10-01 00:00:00,,,35928845.0,5703361.0,150539571.0,433.1,113.0,2017
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,25045378.0,9213497.0,0.111115,1.0,178819230.0,,27641366.0,45689841.0,,1609316351.0,323.0,53525.0,6892052.0,79100580.0,118003.0,13318.0,22302364.0,2018-04-30,AZ,10899.0,6963219.0,30.0,6475114.0,68473.0,2017-05-01 00:00:00,,,78781930.0,15496432.0,522271489.0,1022.06,293.0,2017
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,,665058.0,0.559465,2.0,13926573.0,,,2700158.0,,24892668.0,25.0,2426.0,1650049.0,4617203.0,9125.0,220.0,1114325.0,2017-09-30,LA,1892.0,1458144.0,,44742.0,,2016-10-01 00:00:00,,,,2165139.0,5052534.0,98.7,25.0,2017
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,10627039.0,1391597.0,0.219453,1.0,39078084.0,,10027690.0,7029163.0,,178070686.0,179.0,10761.0,6315953.0,13244578.0,65335.0,2419.0,5745377.0,2017-09-30,LA,6249.0,6448922.0,4.0,28208.0,-13715.0,2016-10-01 00:00:00,,,13718263.0,5327247.0,45720150.0,263.36,175.0,2017
ACADIA GREENLEAF HOSPITAL (114036),Psychiatric,Proprietary-Corporation,,,,1.0,10995489.0,,,,,46816397.0,73.0,25510.0,328608.0,6844130.0,26645.0,2710.0,,2017-12-31,GA,10861.0,335317.0,,,,2017-01-01 00:00:00,,,,1619824.0,,149.24,73.0,2017
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,,,,1.0,18641988.0,,,,,40783212.0,148.0,28262.0,148796.0,12540632.0,54020.0,3831.0,,2017-12-31,AZ,1866.0,151832.0,,,,2017-01-01 00:00:00,,,,4104851.0,,176.65,148.0,2017
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,,495398.0,0.9845,2.0,13423967.0,,,1267448.0,,13635314.0,15.0,3216.0,2906916.0,4219352.0,5475.0,27.0,917126.0,2018-06-30,LA,3156.0,2535260.0,,,,2017-07-01 00:00:00,,,,1090678.0,1392147.0,96.41,15.0,2017
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,,,,1.0,11121499.0,,,,,23021447.0,54.0,17856.0,,6259390.0,19710.0,2383.0,,2017-11-30,LA,1973.0,,,,,2016-12-01 00:00:00,,,,17788091.0,,127.16,54.0,2017
