PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-16,30-SEP-17,Amended,SOUTHEAST ALABAMA MEDICAL CENTER        ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,,,,2075729,,,.1243,,,387,141255,41704,13088,99315,,2425.37,,8010,3240,19677,1204,,,,,,
010005,01-OCT-16,30-SEP-17,As Submitted,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,710727,,,.1272,,,204,74460,17640,6440,39191,,1181.7,,3489,1493,8463,,,,,,,
010006,01-JUL-17,30-JUN-18,Amended,ELIZA COFFEE MEMORIAL HOSPITAL          ,205 MARENGO STREET                      ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,,,,972982,,,.0981,,,358,130670,27010,9868,61692,,960.63,,5183,1916,12642,,,,,,,
010007,01-OCT-16,30-SEP-17,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,25570,,,.0323,,,45,16425,2822,399,4241,,148.6,,682,155,1123,,,,25,,252,
010008,01-JAN-17,31-DEC-17,As Submitted,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,14025,,,.068,,,29,10585,728,94,1115,,92.89,,187,30,311,,,,162,,664,
010011,01-JUL-17,30-JUN-18,Amended,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,687843,,,762312,,,.1142,636013,205067,317,115705,20016,14049,92112,15.66,995.58,,3035,2086,15146,884,,,18,20,415,315
010012,01-APR-17,31-MAR-18,Amended,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,184200,,,.12,,,97,35405,4038,1813,11581,,347.69,,997,802,3191,,,,13,,227,
010016,01-JAN-17,31-DEC-17,Amended,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,412432,,,.0785,,,212,77380,12239,7714,47282,,684,,2653,1312,10536,,,,223,,1174,
010018,01-OCT-16,30-SEP-17,As Submitted,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,35797,,,,,,,19757,335700,12,4380,61,10,152,6.95,225.15,,23,4,56,,,,,,,
010019,01-OCT-16,30-SEP-17,As Submitted,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,603109,,,.1521,,,178,64970,11306,6561,27269,,656.95,,2701,2196,6864,,,,,,,
010021,01-OCT-16,30-SEP-17,As Submitted,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,98235,,,.12,,,77,28105,3258,2237,8517,,292.01,,584,298,1398,,,,20,,182,
010022,01-APR-17,31-MAR-18,As Submitted,CHEROKEE MEDICAL CENTER                 ,100 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,11950,,,.12,,,45,16425,561,564,3785,,100.14,,81,141,684,9,,,,,,
010023,01-JUL-17,30-JUN-18,As Submitted,BAPTIST MEDICAL CENTER SOUTH            ,2105  EAST SOUTH BOULEVARD              ,11010                                   ,MONTGOMERY                              ,AL                                      ,36116-                                  ,MONTGOMERY                              ,2616645,,,2063946,,,.2188,494946,507934,329,120085,23248,25052,85151,42.7,1818.01,,4480,3841,18163,,,,,,2048,
010024,01-JAN-17,31-DEC-17,Amended,JACKSON HOSPITAL AND CLINIC  INC        ,1725 PINE STREET                        ,,MONTGOMERY                              ,AL                                      ,36106-1109                              ,MONTGOMERY                              ,,,,940220,,,.1162,,,257,93805,22391,11851,73144,,1426.28,,3978,2168,15434,,,,,,,
010029,01-OCT-16,30-SEP-17,Amended,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,,,,1634639,,,.1562,,,383,139795,28615,17826,77335,,2329.78,,5124,3642,16897,,,,,,,234
010032,01-OCT-16,30-SEP-17,As Submitted,WEDOWEE HOSPITAL                        ,301 NORTH MAIN STREET                   ,,WEDOWEE                                 ,AL                                      ,36278                                   ,RANDOLPH                                ,,,,10703,,,.1053,,,34,12410,369,62,945,,80.38,,100,20,258,,,,,,,
010033,01-OCT-16,30-SEP-17,As Submitted,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,20331689,,,6544405,,,.1947,8084285,2983422,1058,386063,78233,82427,313586,529.37,8850,,12035,12219,44875,,84,,543,250,2299,1257
010034,01-OCT-16,30-SEP-17,As Submitted,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,59919,,,.1098,,,37,13505,3298,769,6017,,212.96,,433,168,1028,,,,13,,185,
010035,01-JUL-17,30-JUN-18,As Submitted,CULLMAN REGIONAL                        ,1912 ALABAMA HIGHWAY 157                ,,CULLMAN                                 ,AL                                      ,35056                                   ,CULLMAN                                 ,,,,309364,,,.0609,,,145,45635,13183,3721,29310,,857.02,,3069,1338,8057,,,,,,,
010036,01-APR-17,31-MAR-18,As Submitted,ANDALUSIA REGIONAL HOSPITAL             ,849 THREE NOTCH STREET                  ,,ANDALUSIA                               ,AL                                      ,36420                                   ,COVINGTON                               ,,,,234519,,,.12,,,88,32120,5598,2392,11614,,243.43,,1401,585,3107,,,,,,,
010038,01-MAY-17,30-SEP-17,As Submitted,STRINGFELLOW MEMORIAL HOSPITAL          ,301 EAST 18TH STREET                    ,P.O. BOX                                ,ANNISTON                                ,AL                                      ,36207                                   ,CALHOUN                                 ,,,,46800,,,.0665,,,125,19125,1984,351,3939,,224.89,,471,110,1103,,,,,,,
