PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-18,30-SEP-19,As Submitted,SOUTHEAST HEALTH MEDICAL CENTER         ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,1649155,,,2334207,,,.1507,466833,250180,342,124830,35133,11950,99283,16.28,2479.23,,6572,2332,20694,,,,,,,
010005,01-OCT-18,30-SEP-19,As Submitted,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,667866,,,.1421,,,204,74460,14554,7128,34745,,1290.19,,2765,1360,7640,,,,,,,
010007,01-OCT-18,30-SEP-19,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,26097,,,.0364,,,45,16425,3347,432,5031,,159.01,,610,132,1077,,1,,23,,233,
010018,01-OCT-18,30-SEP-19,As Submitted,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,40717,,,,,,,9544,197803,12,4380,69,16,259,6.48,248.6,,25,6,110,,,,,,,
010019,01-OCT-18,30-SEP-19,As Submitted,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,515902,,,.1245,,,178,64970,12876,5742,27602,,688.31,,2877,2020,6996,,,,,,,
010021,01-OCT-18,30-SEP-19,As Submitted,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,75542,,,.12,,,77,28105,2532,1537,7446,,272.33,,460,251,1132,,,,27,,372,
010029,01-OCT-18,30-SEP-19,As Submitted,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,,,,1322165,,,.1418,,,299,109135,25060,17270,78863,,2484.86,,4388,4851,17291,113,,,,13,,329
010033,01-OCT-18,30-SEP-19,As Submitted,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,21008496,,,7311078,,,.2048,7687547,3108008,1100,401256,75093,85691,334853,567.86,8935.68,,11875,9123,53894,,,,730,279,2362,1301
010034,01-OCT-18,30-SEP-19,As Submitted,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,20598,,,.0702,,,37,13505,1653,349,3969,,173.81,,223,77,694,,,,20,,138,
010038,01-OCT-18,30-SEP-19,As Submitted,STRINGFELLOW MEMORIAL HOSPITAL          ,301 EAST 18TH STREET                    ,P.O. BOX                                ,ANNISTON                                ,AL                                      ,36207                                   ,CALHOUN                                 ,,,,209279,,,.1523,,,125,45625,4031,2307,11821,,230.84,,902,467,2716,,,,,,,
