PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-17,30-SEP-18,As Submitted,SOUTHEAST HEALTH MEDICAL CENTER         ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,329557,26796,,1913949,140834,,.1326,,,327,119355,37031,13153,95560,3.28,2371.67,,6945,3061,19963,,,,,,,
010005,01-OCT-17,30-SEP-18,As Submitted,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,653937,,,.1299,,,204,74460,15651,7310,38089,,1181.21,,3069,1765,9069,,,,,,,
010006,01-JUL-18,30-JUN-19,As Submitted,NORTH ALABAMA MEDICAL CENTER            ,1701 VETERANS DRIVE                     ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,,,,994840,,,.1005,,,233,104170,26062,10090,61969,,970.89,,5017,2723,12472,47,,,,,,
010007,01-OCT-17,30-SEP-18,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,40552,,,.0492,,,45,16425,3144,497,4571,,157.12,,679,173,1157,,1,,31,,279,
010008,01-JAN-18,31-DEC-18,As Submitted,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,15497,,,.0792,,,29,10585,727,85,1334,,98.54,,110,23,314,,,,,,702,
010011,01-JUL-18,30-JUN-19,As Submitted,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,632857,,,437286,,,.0674,825127,224076,309,112785,17983,10686,82556,16.53,944,,2926,1623,14059,,,,14,14,607,281
010012,01-APR-18,31-MAR-19,As Submitted,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,208052,,,.12,,,97,35405,4142,1858,11591,,357.55,,1056,759,3207,,,,10,,275,
010016,01-JAN-18,31-DEC-18,As Submitted,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,452969,,,.0801,,,212,77380,12173,7573,46061,,691,,2597,1272,10376,,,,167,,1082,
010018,01-OCT-17,30-SEP-18,As Submitted,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,57842,,,,,,,20614,291512,12,4380,94,37,293,5.65,226.67,,35,14,130,,,,,,,
010019,01-OCT-17,30-SEP-18,As Submitted,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,598554,,,.1358,,,178,64970,12869,6206,27993,,695.76,,2917,2197,7325,,,,,,,
010021,01-OCT-17,30-SEP-18,As Submitted,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,77927,,,.12,,,77,28105,2762,2103,8101,,283.19,,450,263,1290,,,,23,,155,
010022,01-APR-18,31-MAY-18,As Submitted,CHEROKEE MEDICAL CENTER                 ,100 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,,,,,,,45,1395,,94,411,,,,,24,114,2,,,,,,
010022,01-JUN-18,30-JUN-19,As Submitted,CHEROKEE MEDICAL CENTER                 ,100 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,34627,,,.12,,,45,17775,1981,910,4311,,105.51,,252,193,654,51,,,,,,
