Original Label,Curated Label
1125 SIR FRANCIS DRAKE OPERATING CO (052043),KENTFIELD REHABILITATION HOSPITAL (052043)
4499 ACUSHNET AVENUE OPERATING COMPM (222043),VIBRA HOSP OF SOUTHEASTERN MASS (222043)
4499 ACUSHNET AVENUE OPERATING COMPA (222043),VIBRA HOSP OF SOUTHEASTERN MASS (222043)
A.G. HOLLEY STATE HOSPITAL (102000),A.G. HOLLEY STATE HOSPITAL (102000)
ABBEVILLE AREA MEDICAL CENTER (421301),ABBEVILLE AREA MEDICAL CENTER (421301)
ABBEVILLE GENERAL HOSPITAL (190034),ABBEVILLE GENERAL HOSPITAL (190034)
ABBOTT NORTHWESTERN HOSPITAL (240057),ABBOTT NORTHWESTERN HOSPITAL (240057)
ABILENE REG MED CTR (450558),ABILENE REG MED CTR (450558)
ABINGTON MEMORIAL HOSPITAL (390231),ABINGTON MEMORIAL HOSPITAL (390231)
LINCOLN MEMORIAL HOSPITAL (141322),ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322)
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322)
ABRAZO ARROWHEAD CAMPUS (030094),ABRAZO ARROWHEAD CAMPUS (030094)
ABRAZO CENTRAL CAMPUS (030030),ABRAZO CENTRAL CAMPUS (030030)
ABRAZO MARYVALE CAMPUS (030001),ABRAZO MARYVALE CAMPUS (030001)
ABRAZO SCOTTSDALE CAMPUS (030083),ABRAZO SCOTTSDALE CAMPUS (030083)
ABRAZO WEST CAMPUS (030110),ABRAZO WEST CAMPUS (030110)
ABROM KAPLAN MEMORIAL HOSPITAL (191322),ABROM KAPLAN MEMORIAL HOSPITAL (191322)
ACADIA ABILENE PSYCH CENTER (454098),ACADIA ABILENE PSYCH CENTER (454098)
ACADIA GENERAL HOSPITAL (190044),ACADIA GENERAL HOSPITAL (190044)
ACADIA GREENLEAF HOSPITAL (114036),ACADIA GREENLEAF HOSPITAL (114036)
ACADIA HOSPITAL (204006),ACADIA HOSPITAL (204006)
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),ACADIA SONORA BEHAVIORAL HOSPITAL (034022)
ACADIA VERMILION HOSPITAL (194044),ACADIA VERMILION HOSPITAL (194044)
ACADIA-ST. LANDRY HOSPITAL (191319),ACADIA ST LANDRY HOSPITAL (191319)
ACADIAN MEDICAL CENTER (190318),ACADIAN MEDICAL CENTER (190318)
ACCEL REHABILITATION HOSPITAL PLANO (673055),ACCEL REHABILITATION HOSPITAL PLANO (673055)
ACCESS HOSPITAL DAYTON (364050),ACCESS HOSPITAL DAYTON (364050)
ACCESS HOSPITAL OF DAYTON (364050),ACCESS HOSPITAL DAYTON (364050)
ACHS CENTRAL JERSEY (312017),ACHS CENTRAL JERSEY (312017)
ACOMA CANONCITO LAGUNA HOSPITAL (320070),ACOMA CANONCITO LAGUNA HOSPITAL (320070)
