FY 2020 IPPS Impact File -  Final Rule (August 2019)																																																								
Provider Number	Name	Geographic Labor Market Area	Pre-Reclass Labor Market Area	Post Reclass Labor Market Area	Payment Labor Market Area (for purposes of Capital and DSH)	FIPS County Code	Region	URGEO	URSPA	RECLASS	FY 2020 Wage Index	LUGAR	Section 401 Hospital	Section 401 or LUGAR Hospitals with a MGCRB Wage Index Reclass	Section  505 Eligible	Section 505 Adjustment	Cost of Living Adjustment	Resident to Bed Ratio	RDAY	Beds	Average Daily Census	TCHOP	TCHCP	DSHPCT	DSHOPP	DSHCPP	DSH_LY	UCP_ADJ	UCP Per Claim Amount	UCP_ADJ_LY	UCP Per Claim Amount LY	Operating CCR	Capital CCR	Provider Type	HSP Rate	Bills	CASETA36	CMIV36	TACMIV36	IME_CASETA36	IME_TACMIV36	CASETA37	CMIV37	TACMIV37	IME_CASETA37	IME_TACMIV37	GAF	Capital Cost of Living Adjustment	OUT19F	COUT19F	Medicare Percentage	Low Volume Hospital Adjustment	Proxy Value Based Purchasing Adjustment Factor	Proxy Readmission Adjustment Factor	Proxy Quality Reduction	Proxy EHR Reduction
010001	Southeast Alabama Medical Center	20020	20020	10	01	01069	5	ourban	rural	S	0.9485		YES	YES	N		1	0.0383	0	387	259	0.02071	0	0.2943	0.03374	0	0.03374	0.000676	717.64	0.000652	651.39	0.18	0.013	7		6943	6826.42	1.9103	1.8936	290.88	2.2382	6833.13	1.9099	1.8935	291.13	2.2417	0.9644	1	0.00922	0.00886	0.45372	1	0.99273	0.9916	0	0
010005	Marshall Medical Center South	01	01	26620	01	01095	5	rural	rural	W	0.8131				N		1	0	0	204	101	0	0	0.2907	0.03299	0	0.03299	0.000357	867.25	0.000311	709.31	0.327	0.04	7		3048	3006.16	1.3822	1.3768			3009.29	1.3822	1.3770			0.8679	1	0.00594	0.01584	0.45297	1	0.99297	0.9954	0	0
010006	North Alabama Medical Center	22520	22520	26620	01	01077	5	ourban	rural	S	0.8131		YES	YES	N		1	0	0	358	160	0	0	0.2433	0.02322	0	0.02322	0.000272	410.44	0.000269	385.6	0.169	0.01	7		5125	5060.52	1.7372	1.7325			5064.61	1.7421	1.7374			0.8679	1	0.00695	0.00389	0.46476	1	0.99173	0.9849	0	0
010007	Mizell Memorial Hospital	01	01	01	01	01039	5	rural	rural	N	0.7543				N		1	0	0	45	12	0	0	0.1614	0.0081	0	0.0081	0.000044	520.34	0.000034	379.66	0.354	0.039	14	4282.04	675	664.14	1.1239	1.1211			664.81	1.1243	1.1217			0.8244	1	0.00254	0.00484	0.6972	1.19856	0.9922	0.9917	0	1
010008	Crenshaw Community Hospital	01	01	01	01	01041	5	rural	rural	N	0.7543				N		1	0	0	29	3	0	0	0.2487	0.02433	0	0.02433	0.000001	38.19	0.000055	2127.11	0.275	0.025	0		166	165.26	1.0683	1.0674			165.37	1.0593	1.0583			0.8244	1	0	0	0.67891	1.25	1	0.9995	0	0
010011	St Vincent's East	13820	13820	13820	13820	01073	5	lurban	lurban	N	0.8127				N		1	0.0478	0.0626	312	235	0.02577	0.01782	0.2636	0.02741	0.05483	0.02741	0.00045	1078.2	0.000446	962.36	0.183	0.007	0		2866	2840.84	1.8564	1.8467	2582.27	1.8273	2842.42	1.8565	1.8473	2583.75	1.8286	0.8676	1	0.04173	0.01075	0.26045	1	0.99505	0.9985	0	0
010012	Dekalb Regional Medical Center	01	01	01	01	01049	5	rural	rural	N	0.7543				N		1	0	0	97	29	0	0	0.3597	0.03	0	0.03	0.000126	1008.41		0	0.125	0.006	16	5470.81	1033	1004.33	1.4001	1.3906			1005.20	1.3993	1.3893			0.8244	1	0.00637	0.00333	0.39473	1.04992	0.99441	0.9954	0	0
010016	Shelby Baptist Medical Center	13820	13820	13820	13820	01117	5	lurban	lurban	N	0.8127				N		1	0	0	212	127	0	0	0.2227	0.01897	0.04613	0.01897	0.0004	1153.08	0.000347	941.53	0.132	0.008	0		2606	2543.18	1.7495	1.7364			2546.14	1.7494	1.7367			0.8676	1	0.01661	0.00974	0.27877	1	0.99692	0.9985	0	0
010018	Uab Callahan Eye Hospital Authority	13820	13820	13820	13820	01073	5	lurban	lurban	N	0.8127				N		1	0.6183	1.5	12	1	0.2906	0.52699	0.08812069	0	0	0		0		0	1.044	0.017	0		34	34.00	1.2564	1.2564	15.00	1.4392	34.00	1.3245	1.3245	15.00	1.5285	0.8676	1	0.40136	0	0.59483	1	1	1.0000	0	0
010019	Helen Keller Memorial Hospital	22520	22520	22520	22520	01033	5	ourban	ourban	N	0.7543				N		1	0	0	185	65	0	0	0.3123	0.03745	0.06528	0.03745	0.000254	764.33	0.000231	686.11	0.242	0.011	0		2906	2875.19	1.3752	1.3714			2877.69	1.3747	1.3711			0.8244	1	0.00341	0.00078	0.4383	1	0.99932	0.9906	0	1
010021	Dale Medical Center	01	01	01	01	01045	5	rural	rural	N	0.7543				N		1	0	0	77	22	0	0	0.4291	0.03	0	0.03	0.000072	1044.75	0.000073	921.78	0.413	0.017	0		446	432.82	1.3196	1.3013			433.50	1.3220	1.3041			0.8244	1	0.00926	0.0025	0.44705	1.17197	0.9965	0.9984	0	0
010022	Floyd Cherokee Medical Center	01	01	12060	40660	01019	5	rural	ourban	L	0.9119	LUGAR			N		1	0	0	45	7	0	0	0.3983	0.03	0	0.03	0.000017	730.09	0.000022	618.25	0.289	0.016	0		58	56.82	0.9026	0.8968			56.88	0.8956	0.8903			0.9388	1	0	0	0.41725	1.22296	1.01868	0.9999	0	0
010023	Baptist Medical Center South	33860	33860	33860	33860	01101	5	ourban	ourban	N	0.8008				N		1	0.1208	0.1765	329	235	0.06382	0.05107	0.4053	0.05663	0.08554	0.05663	0.000763	1311.48	0.000723	1227.44	0.233	0.013	0		4353	4283.56	1.8582	1.8452	724.46	2.2792	4287.61	1.8615	1.8490	725.03	2.2749	0.8589	1	0.04313	0.02413	0.28064	1	0.99505	0.9886	0	0
010024	Jackson Hospital & Clinic Inc	33860	33860	13820	01	01101	5	ourban	rural	S	0.8042		YES	YES	N		1	0	0	241	188	0	0	0.2772	0.03021	0	0.03021	0.000398	769.7	0.000388	706.79	0.172	0.016	7		4002	3964.21	1.8427	1.8242			3966.73	1.8424	1.8244			0.8614	1	0.02204	0.03236	0.36897	1	0.99766	0.9860	0	0
010029	East Alabama Medical Center	12220	12220	17980	12220	01081	5	ourban	ourban	W	0.798				N		1	0	0	315	196	0	0	0.3083	0.03662	0.06442	0.03662	0.00077	1202.31	0.00057	820.98	0.405	0.042	7		4771	4705.97	1.7497	1.7469			4707.72	1.7543	1.7514			0.8568	1	0.02208	0.0396	0.45264	1	1.00074	0.9832	0	0
010033	University Of Alabama Hospital	13820	13820	13820	13820	01073	5	lurban	lurban	N	0.8127				N		1	0.2972	0.3968	1054	830	0.15004	0.11849	0.3603	0.04735	0.07569	0.04735	0.003883	2652.48	0.002904	1936.44	0.209	0.013	0		11261	11063.67	2.3711	2.3592	4984.22	2.2302	11076.49	2.3819	2.3698	4990.18	2.2459	0.8676	1	0.14089	0.10309	0.25762	1	1.00773	0.9971	0	0
010034	Community Hospital Inc	33860	33860	33860	33860	01051	5	ourban	ourban	N	0.8008				N		1	0	0	37	14	0	0	0.2642	0.02753	0	0.02753	0.000058	1151.88	0.000047	824.32	0.513	0.046	0		314	307.33	1.1693	1.1580			307.73	1.1645	1.1535			0.8589	1	0	0	0.4807	1.20371	1.00522	0.9978	0	0
010035	Cullman Regional Medical Center	01	01	13820	01	01043	5	rural	rural	W	0.8042				N		1	0	0	115	75	0	0	0.2105	0.01645	0	0.01645		0		0	0.219	0.023	17	6766.61	3027	2978.34	1.3690	1.3575			2981.26	1.3706	1.3593			0.8614	1	0.01296	0.02167	0.45879	1	0.99541	0.9793	0	0
010036	Andalusia Health	01	01	01	01	01039	5	rural	rural	N	0.7543				N		1	0	0	88	28	0	0	0.369	0.03	0	0.03	0.000063	383.23	0.000073	440.76	0.142	0.012	0		1348	1316.67	1.3228	1.3061			1318.59	1.3173	1.3021			0.8244	1	0.00364	0.00513	0.49805	1.0525	1.00911	0.9912	0	0
010038	Stringfellow Memorial Hospital	11500	11500	11500	11500	01015	5	ourban	ourban	N	0.8147				N		1	0	0	125	34	0	0	0.2018	0.01467	0.04171	0.01467	0.000092	612.11	0.000076	445.14	0.098	0.009	0		1016	1005.97	1.2944	1.2892			1007.04	1.2955	1.2905			0.8691	1	0.00642	0.01264	0.48297	1	1.00994	0.9914	0	0
010039	Huntsville Hospital	26620	26620	26620	26620	01089	5	ourban	ourban	N	0.8362				N		1	0.0674	0.1054	863	633	0.03614	0.03019	0.2602	0.0267	0.0541	0.0267	0.001818	977.88	0.001605	847.13	0.178	0.009	0		14852	14741.08	1.8687	1.8638	4044.15	1.9438	14749.59	1.8735	1.8688	4046.73	1.9459	0.8847	1	0.04764	0.01846	0.34875	1	0.99403	0.9930	0	0
010040	Gadsden Regional Medical Center	23460	23460	13820	23460	01055	5	ourban	ourban	W	0.8042				N		1	0	0	225	184	0	0	0.2837	0.03155	0.05913	0.03155	0.000397	727.42	0.00041	695.11	0.077	0.006	0		4096	4040.03	1.7852	1.7720			4044.00	1.7883	1.7748			0.8614	1	0.02294	0.02534	0.40642	1	0.99643	0.9779	0	0
010044	Marion Regional Medical Center	01	01	13820	01	01093	5	rural	rural	W	0.8042				N		1	0	0	36	4	0	0	0.1503	0.0063	0	0.0063	0.000054	1314.32	0.00004	1104.86	0.239	0.017	14	5663.78	340	330.19	1.0895	1.0802			330.88	1.0807	1.0712			0.8614	1	0	0	0.69927	1.25	1.0183	1.0000	0	0
010045	Fayette Medical Center	01	01	46220	01	01057	5	rural	rural	W	0.8048				N		1	0	0	42	8	0	0	0.1991	0.01423	0	0.01423	0.000054	1051.74	0.000042	715.05	0.546	0.032	14	5177.94	392	379.75	1.1393	1.1339			380.46	1.1347	1.1287			0.8618	1	0.01584	0.01054	0.695	1.22492	1.01299	0.9880	0	0
010046	Riverview Regional Medical Center	23460	23460	23460	23460	01055	5	ourban	ourban	N	0.7653				Y	0.0149	1	0	0	255	80	0	0	0.2465	0.02388	0.05118	0.02388	0.000152	428.32		0	0.096	0.01	0		2714	2666.51	1.6777	1.6665			2668.96	1.6778	1.6670			0.8326	1	0.01207	0.0258	0.46834	1	1.00837	0.9791	0	0
010047	Georgiana Medical Center	01	01	01	01	01013	5	rural	rural	N	0.7693				Y	0.0299	1	0	0	22	4	0	0	0.193	0.01324	0	0.01324	0.000029	756.69	0.000021	498.01	0.629	0.053	14	3174.09	309	304.63	0.8961	0.8900			304.55	0.8963	0.8901			0.8356	1	0	0	0.70006	1.24909	1	0.9932	0	0
010049	Medical Center Enterprise	01	01	01	01	01031	5	rural	rural	N	0.7543				N		1	0	0	117	23	0	0	0.3705	0.03	0	0.03	0.000084	718.4	0.000082	684.03	0.127	0.011	0		938	900.05	1.3659	1.3551			902.78	1.3628	1.3530			0.8244	1	0.0119	0.01679	0.30168	1.02833	1.00271	0.9946	0	0
010051	Greene County Hospital	01	01	01	01	01063	5	rural	rural	N	0.7543				N		1	0	0	20	2	0	0	0.4478	0.03	0	0.03	0.000045	4432.48	0.000032	2323.35	1.012	0.065	0		74	71.84	0.9233	0.9085			71.94	0.9204	0.9057			0.8244	1	0	0	0.47765	1.25	1	0.9979	1	1
