FY 2019 IPPS Impact File -  Correction Notice (September 2018)																																																									
Provider Number	Name	Geographic Labor Market Area	Pre-Reclass Labor Market Area	Post Reclass Labor Market Area	Payment Labor Market Area (for purposes of Capital and DSH)	SSA County Code	FIPS County Code	Region	URGEO	URSPA	RECLASS	FY 2019 Wage Index	LUGAR	Section 401 Hospital	Section 401 or LUGAR Hospitals with a MGCRB Wage Index Reclass	Section 505 Eligible	Section 505 Adjustment	Cost of Living Adjustment	Resident to Bed Ratio	RDAY	Beds	Average Daily Census	TCHOP	TCHCP	DSHPCT	DSHOPP	DSHCPP	DSH_LY	UCP_ADJ	UCP Per Claim Amount	UCP_ADJ_LY	UCP Per Claim Amount LY	Operating CCR	Capital CCR	Provider Type	HSP Rate	Bills	CASETA35	CMIV35	TACMIV35	IME_CASETA35	IME_TACMIV35	CASETA36	CMIV36	TACMIV36	IME_CASETA36	IME_TACMIV36	GAF	Capital Cost of Living Adjustment	OUT19F	COUT19F	Medicare Percentage	Low Volume Hospital Adjustment	Proxy Value Based Purchasing Adjustment Factor	Proxy Readmission Adjustment Factor	Proxy Quality Reduction	Proxy EHR Reduction
010001	Southeast Alabama Medical Center	20020	20020	18880	20020	1340	01069	5	ourban	ourban	W	0.7848						1	0	0	400	237	0	0	0.2932	0.03351	0.06117	0.03351	0.000652	651.39	0.000681	547.25	0.189	0.013	0		7997	7849.82	1.8291	1.8141			7864.99	1.8298	1.8153			0.8471	1	0.01322	0.00869	0.474	1	1.00054	0.99	0	0
010005	Marshall Medical Center South	1	1	13820	1	1470	01095	5	rural	rural	W	0.7845						1	0	0	204	100	0	0	0.2881	0.03246	0	0.03246	0.000311	709.31	0.000296	530.05	0.328	0.036	7		3479	3429.37	1.3576	1.3521			3433.81	1.36	1.355			0.8469	1	0.00415	0.00956	0.465	1	0.99937	0.99	0	0
010006	Eliza Coffee Memorial Hospital	22520	22520	25	1	1380	01077	5	ourban	rural	S	0.7197		YES	YES			1	0	0	358	158	0	0	0.2424	0.02303	0	0.02303	0.000269	385.6	0.000276	318.96	0.162	0.01	7		5440	5377.06	1.714	1.7044			5385.51	1.712	1.7024			0.7983	1	0.00719	0.00425	0.516	1	0.99312	0.99	0	0
010007	Mizell Memorial Hospital	1	1	1	1	1190	01039	5	rural	rural	N	0.6704						1	0	0	45	14	0	0	0.1848	0.01191	0	0.01191	0.000034	379.66	0.000031	276.62	0.352	0.043	14	4185.39	676	667.03	1.079	1.0717			667.93	1.07	1.0643			0.7605	1	0	0	0.67	1.18341	0.99592	0.99	0	1
010008	Crenshaw Community Hospital	1	1	1	1	1200	01041	5	rural	rural	N	0.6823				YES	0.0119	1	0	0	29	5	0	0	0.2294	0.02035	0	0.02035	0.000055	2127.11	0.000048	1457.48	0.311	0.034	0		191	187.48	1.0228	0.9991			187.78	1.0262	1.0045			0.7697	1	0	0	0.5	1.25	1	1.00	0	1
010011	St Vincent'S East	13820	13820	13820	13820	1360	01073	5	lurban	lurban	N	0.8036						1	0.0499	0.0626	308	230	0.02689	0.01782	0.2538	0.02538	0.05274	0.02538	0.000446	962.36	0.000429	720.13	0.195	0.008	0		3521	3482.67	1.7248	1.7157	2737.23	1.8208	3486.63	1.7298	1.7216	2738.59	1.82	0.8609	1	0.02165	0.00262	0.278	1	0.99654	1.00	0	0
010012	Dekalb Regional Medical Center	1	1	1	1	1240	01049	5	rural	rural	N	0.715				YES	0.0446	1	0	0	97	27	0	0	0.3491	0.03	0	0.03		0		0	0.128	0.006	16	5344.77	1040	1011.02	1.3168	1.3072			1012.84	1.3222	1.3123			0.7947	1	0.00421	0.00007	0.365	1.04841	0.99962	0.99	0	0
010016	Shelby Baptist Medical Center	13820	13820	13820	13820	1580	01117	5	lurban	lurban	N	0.8036						1	0	0	212	136	0	0	0.2296	0.02039	0.04759	0.02039	0.000347	941.53	0.000352	737.81	0.143	0.009	0		2675	2617.98	1.667	1.6598			2622.64	1.6757	1.6681			0.8609	1	0.03297	0.0216	0.318	1	0.99533	1.00	0	0
010018	Callahan Eye Hospital	13820	13820	13820	13820	1360	01073	5	lurban	lurban	N	0.8036						1	0.6375	1.5	12	1	0.29846	0.52699	0.0855	0	0	0		0		0	1.043	0.018	0		24	24	1.1741	1.1741	8	1.1761	24	1.1585	1.1585	8	1.1248	0.8609	1	0.24425	0	0.454	1	1	1.00	0	0
010019	Helen Keller Memorial Hospital	22520	22520	22520	22520	1160	01033	5	ourban	ourban	N	0.6704						1	0	0	185	63	0	0	0.3315	0.04141	0.06943	0.04141	0.000231	686.11	0.000239	568.26	0.228	0.014	0		2685	2643.39	1.3575	1.3512			2647.97	1.3509	1.3452			0.7605	1	0.00475	0.00244	0.451	1	0.99819	0.99	0	1
