URBAN CBSAs AND CONSTITUENT COUNTIES FOR ACUTE CARE HOSPITALS—FY 2019			
CBSA Code	Urban Area		
	(Constituent Counties)		
10180	"Abilene, TX"		
	"Callahan County, TX"		
	"Jones County, TX"		
	"Taylor County, TX"		
10380	"Aguadilla-Isabela, PR"		
	"Aguada Municipio, PR"		
	"Aguadilla Municipio, PR"		
	"Añasco Municipio, PR"		
	"Isabela Municipio, PR"		
	"Lares Municipio, PR"		
	"Moca Municipio, PR"		
	"Rincón Municipio, PR"		
	"San Sebastián Municipio, PR"		
	"Utuado Municipio, PR"		
10420	"Akron, OH"		
	"Portage County, OH"		
	"Summit County, OH"		
10500	"Albany, GA"		
	"Baker County, GA"		
	"Dougherty County, GA"		
	"Lee County, GA"		
	"Terrell County, GA"		
	"Worth County, GA"		
10540	"Albany, OR"		
	"Linn County, OR"		
10580	"Albany-Schenectady-Troy, NY"		
	"Albany County, NY"		
	"Rensselaer County, NY"		
	"Saratoga County, NY"		
	"Schenectady County, NY"		
	"Schoharie County, NY"		
10740	"Albuquerque, NM"		
	"Bernalillo County, NM"		
	"Sandoval County, NM"		
	"Torrance County, NM"		
	"Valencia County, NM"		
10780	"Alexandria, LA"		
	"Grant Parish, LA"		
	"Rapides Parish, LA"		
10900	"Allentown-Bethlehem-Easton, PA-NJ"		
	"Warren County, NJ"		
	"Carbon County, PA"		
	"Lehigh County, PA"		
	"Northampton County, PA"		
11020	"Altoona, PA"		
	"Blair County, PA"		
11100	"Amarillo, TX"		
	"Armstrong County, TX"		
	"Carson County, TX"		
	"Oldham County, TX"		
	"Potter County, TX"		
	"Randall County, TX"		
11180	"Ames, IA"		
	"Story County, IA"		
11244	"1Anaheim-Santa Ana-Irvine, CA"		
	"Orange County, CA"		
11260	"Anchorage, AK"		
	"Anchorage Municipality, AK"		
	"Matanuska-Susitna Borough, AK"		
11460	"Ann Arbor, MI"		
	"Washtenaw County, MI"		
11500	"Anniston-Oxford-Jacksonville, AL"		
	"Calhoun County, AL"		
11540	"Appleton, WI"		
	"Calumet County, WI"		
	"Outagamie County, WI"		
11640	"Arecibo, PR"		
	"Arecibo Municipio, PR"		
	"Camuy Municipio, PR"		
	"Hatillo Municipio, PR"		
	"Quebradillas Municipio, PR"		
11700	"Asheville, NC"		
	"Buncombe County, NC"		
	"Haywood County, NC"		
	"Henderson County, NC"		
	"Madison County, NC"		
12020	"Athens-Clarke County, GA"		
	"Clarke County, GA"		
	"Madison County, GA"		
	"Oconee County, GA"		
	"Oglethorpe County, GA"		
12060	"1Atlanta-Sandy Springs-Roswell, GA"		
	"Barrow County, GA"		
	"Bartow County, GA"		
	"Butts County, GA"		
	"Carroll County, GA"		
	"Cherokee County, GA"		
	"Clayton County, GA"		
	"Cobb County, GA"		
	"Coweta County, GA"		
	"Dawson County, GA"		
	"DeKalb County, GA"		
	"Douglas County, GA"		
	"Fayette County, GA"		
	"Forsyth County, GA"		
	"Fulton County, GA"		
	"Gwinnett County, GA"		
	"Haralson County, GA"		
	"Heard County, GA"		
	"Henry County, GA"		
	"Jasper County, GA"		
	"Lamar County, GA"		
	"Meriwether County, GA"		
	"Morgan County, GA"		
	"Newton County, GA"		
	"Paulding County, GA"		
	"Pickens County, GA"		
	"Pike County, GA"		
	"Rockdale County, GA"		
	"Spalding County, GA"		
	"Walton County, GA"		
12100	"Atlantic City-Hammonton, NJ"		
	"Atlantic County, NJ"		
12220	"Auburn-Opelika, AL"		
	"Lee County, AL"		
12260	"Augusta-Richmond County, GA-SC"		
	"Burke County, GA"		
	"Columbia County, GA"		
	"Lincoln County, GA"		
	"McDuffie County, GA"		
	"Richmond County, GA"		
	"Aiken County, SC"		
	"Edgefield County, SC"		
12420	"1Austin-Round Rock, TX"		
	"Bastrop County, TX"		
	"Caldwell County, TX"		
	"Hays County, TX"		
	"Travis County, TX"		
	"Williamson County, TX"		
12540	"Bakersfield, CA"		
	"Kern County, CA"		
12580	"1Baltimore-Columbia-Towson, MD"		
	"Anne Arundel County, MD"		
	"Baltimore County, MD"		
	"Carroll County, MD"		
	"Harford County, MD"		
	"Howard County, MD"		
	"Queen Anne's County, MD"		
	"Baltimore City, MD"		
12620	"Bangor, ME"		
	"Penobscot County, ME"		
12700	"Barnstable Town, MA"		
	"Barnstable County, MA"		
12940	"Baton Rouge, LA"		
	"Ascension Parish, LA"		
	"East Baton Rouge Parish, LA"		
	"East Feliciana Parish, LA"		
	"Iberville Parish, LA"		
	"Livingston Parish, LA"		
	"Pointe Coupee Parish, LA"		
	"St. Helena Parish, LA"		
	"West Baton Rouge Parish, LA"		
	"West Feliciana Parish, LA"		
12980	"Battle Creek, MI"		
	"Calhoun County, MI"		
13020	"Bay City, MI"		
	"Bay County, MI"		
13140	"Beaumont-Port Arthur, TX"		
	"Hardin County, TX"		
	"Jefferson County, TX"		
	"Newton County, TX"		
	"Orange County, TX"		
13220	"Beckley, WV"		
	"Fayette County, WV"		
	"Raleigh County, WV"		
13380	"Bellingham, WA"		
	"Whatcom County, WA"		
13460	"Bend-Redmond, OR"		
	"Deschutes County, OR"		
13740	"Billings, MT"		
	"Carbon County, MT"		
	"Golden Valley County, MT"		
	"Yellowstone County, MT"		
13780	"Binghamton, NY"		
	"Broome County, NY"		
	"Tioga County, NY"		
13820	"1Birmingham-Hoover, AL"		
	"Bibb County, AL"		
	"Blount County, AL"		
	"Chilton County, AL"		
	"Jefferson County, AL"		
	"St. Clair County, AL"		
	"Shelby County, AL"		
	"Walker County, AL"		
13900	"Bismarck, ND"		
	"Burleigh County, ND"		
	"Morton County, ND"		
	"Oliver County, ND"		
	"Sioux County, ND"		
13980	"Blacksburg-Christiansburg-Radford, VA"		
	"Floyd County, VA"		
	"Giles County, VA"		
	"Montgomery County, VA"		
	"Pulaski County, VA"		
	"Radford City, VA"		
14010	"Bloomington, IL"		
	"De Witt County, IL"		
	"McLean County, IL"		
14020	"Bloomington, IN"		
	"Monroe County, IN"		
	"Owen County, IN"		
14100	"Bloomsburg-Berwick, PA"		
	"Columbia County, PA"		
	"Montour County, PA"		
14260	"Boise City, ID"		
	"Ada County, ID"		
	"Boise County, ID"		
	"Canyon County, ID"		
	"Gem County, ID"		
	"Owyhee County, ID"		
14454	"1Boston, MA"		
	"Norfolk County, MA"		
	"Plymouth County, MA"		
	"Suffolk County, MA"		
14500	"Boulder, CO"		
	"Boulder County, CO"		
14540	"Bowling Green, KY"		
	"Allen County, KY"		
	"Butler County, KY"		
	"Edmonson County, KY"		
	"Warren County, KY"		
14740	"Bremerton-Silverdale, WA"		
	"Kitsap County, WA"		
14860	"Bridgeport-Stamford-Norwalk, CT"		
	"Fairfield County, CT"		
15180	"Brownsville-Harlingen, TX"		
	"Cameron County, TX"		
15260	"Brunswick, GA"		
	"Brantley County, GA"		
	"Glynn County, GA"		
	"McIntosh County, GA"		
15380	"1Buffalo-Cheektowaga-Niagara Falls, NY"		
	"Erie County, NY"		
	"Niagara County, NY"		
15500	"Burlington, NC"		
	"Alamance County, NC"		
15540	"Burlington-South Burlington, VT"		
	"Chittenden County, VT"		
	"Franklin County, VT"		
	"Grand Isle County, VT"		
15680	"California-Lexington Park, MD"		
	"St. Mary's County, MD"		
15764	"1Cambridge-Newton-Framingham, MA"		
	"Essex County, MA"		
	"Middlesex County, MA"		
15804	"1Camden, NJ"		
	"Burlington County, NJ"		
	"Camden County, NJ"		
	"Gloucester County, NJ"		
15940	"Canton-Massillon, OH"		
	"Carroll County, OH"		
	"Stark County, OH"		
15980	"Cape Coral-Fort Myers, FL"		
	"Lee County, FL"		
16020	"Cape Girardeau, MO-IL"		
	"Alexander County, IL"		
	"Bollinger County, MO"		
	"Cape Girardeau County, MO"		
16060	"Carbondale-Marion, IL"		
	"Jackson County, IL"		
	"Williamson County, IL"		
16180	"Carson City, NV"		
	"Carson City, NV"		
16220	"Casper, WY"		
	"Natrona County, WY"		
16300	"Cedar Rapids, IA"		
	"Benton County, IA"		
	"Jones County, IA"		
	"Linn County, IA"		
16540	"Chambersburg-Waynesboro, PA"		
	"Franklin County, PA"		
16580	"Champaign-Urbana, IL"		
	"Champaign County, IL"		
	"Ford County, IL"		
	"Piatt County, IL"		
16620	"Charleston, WV"		
	"Boone County, WV"		
	"Clay County, WV"		
	"Kanawha County, WV"		
16700	"Charleston-North Charleston, SC"		
	"Berkeley County, SC"		
	"Charleston County, SC"		
	"Dorchester County, SC"		
16740	"1Charlotte-Concord-Gastonia, NC-SC"		
	"Cabarrus County, NC"		
	"Gaston County, NC"		
	"Iredell County, NC"		
	"Lincoln County, NC"		
	"Mecklenburg County, NC"		
	"Rowan County, NC"		
	"Stanly County, NC"		
	"Union County, NC"		
	"Chester County, SC"		
	"Lancaster County, SC"		
	"York County, SC"		
16820	"Charlottesville, VA"		
	"Albemarle County, VA"		
	"Buckingham County, VA"		
	"Fluvanna County, VA"		
	"Greene County, VA"		
	"Nelson County, VA"		
	"Charlottesville City, VA"		
16860	"Chattanooga, TN-GA"		
	"Catoosa County, GA"		
	"Dade County, GA"		
	"Walker County, GA"		
	"Hamilton County, TN"		
	"Marion County, TN"		
	"Sequatchie County, TN"		
16940	"Cheyenne, WY"		
	"Laramie County, WY"		
16974	"1Chicago-Naperville-Arlington Heights, IL"		
	"Cook County, IL"		
	"DuPage County, IL"		
	"Grundy County, IL"		
	"Kendall County, IL"		
	"McHenry County, IL"		
	"Will County, IL"		
17020	"Chico, CA"		
	"Butte County, CA"		
17140	"1Cincinnati, OH-KY-IN"		
	"Dearborn County, IN"		
	"Ohio County, IN"		
	"Union County, IN"		
	"Boone County, KY"		
	"Bracken County, KY"		
	"Campbell County, KY"		
	"Gallatin County, KY"		
	"Grant County, KY"		
	"Kenton County, KY"		
	"Pendleton County, KY"		
	"Brown County, OH"		
	"Butler County, OH"		
	"Clermont County, OH"		
	"Hamilton County, OH"		
	"Warren County, OH"		
17300	"Clarksville, TN-KY"		
	"Christian County, KY"		
	"Trigg County, KY"		
	"Montgomery County, TN"		
17420	"Cleveland, TN"		
	"Bradley County, TN"		
	"Polk County, TN"		
17460	"1Cleveland-Elyria, OH"		
	"Cuyahoga County, OH"		
	"Geauga County, OH"		
	"Lake County, OH"		
	"Lorain County, OH"		
	"Medina County, OH"		
17660	"Coeur d'Alene, ID"		
	"Kootenai County, ID"		
17780	"College Station-Bryan, TX"		
	"Brazos County, TX"		
	"Burleson County, TX"		
	"Robertson County, TX"		
17820	"Colorado Springs, CO"		
	"El Paso County, CO"		
	"Teller County, CO"		
17860	"Columbia, MO"		
	"Boone County, MO"		
17900	"Columbia, SC"		
	"Calhoun County, SC"		
