original label,curated label,CMS ID,CO/RN,SP
SOUTHEAST ALABAMA MEDICAL CENTER (010001),SOUTHEAST ALABAMA MEDICAL CENTER (010001),10001,1,
SOUTHEAST HEALTH MEDICAL CENTER (010001),SOUTHEAST HEALTH MEDICAL CENTER (010001),10001,1,
MARSHALL MEDICAL CENTERS SOUTH (010005),MARSHALL MEDICAL CENTERS SOUTH (010005),10005,,1
MARSHALL MEDICAL CENTER - SOUTH (010005),MARSHALL MEDICAL CENTERS SOUTH (010005),10005,,1
ELIZA COFFEE MEMORIAL HOSPITAL (010006),ELIZA COFFEE MEMORIAL HOSPITAL (010006),10006,1,
NORTH ALABAMA MEDICAL CENTER (010006),NORTH ALABAMA MEDICAL CENTER (010006),10006,1,
MIZELL MEMORIAL HOSPITAL (010007),MIZELL MEMORIAL HOSPITAL (010007),10007,,
CRENSHAW COMMUNITY HOSPITAL (010008),CRENSHAW COMMUNITY HOSPITAL (010008),10008,,
HARTSELLE MEDICAL CENTER (010009),HARTSELLE MEDICAL CENTER (010009),10009,,
MARSHALL MEDICAL CENTER - NORTH (010010),MARSHALL MEDICAL CENTER - NORTH (010010),10010,,
ST. VINCENTS EAST (010011),ST. VINCENTS EAST (010011),10011,,1
ST. VINCENT S EAST (010011),ST. VINCENTS EAST (010011),10011,,1
DEKALB REGIONAL MEDICAL CENTER (010012),DEKALB REGIONAL MEDICAL CENTER (010012),10012,,
SOUTHWEST ALABAMA MEDICAL CENTER (010015),SOUTHWEST ALABAMA MEDICAL CENTER (010015),10015,,
SHELBY BAPTIST MEDICAL CENTER (010016),SHELBY BAPTIST MEDICAL CENTER (010016),10016,,
CALLAHAN EYE FOUNDATION HOSP (010018),CALLAHAN EYE FOUNDATION HOSP (010018),10018,,
HELEN KELLER HOSPITAL (010019),HELEN KELLER HOSPITAL (010019),10019,,
DALE MEDICAL CENTER (010021),DALE MEDICAL CENTER (010021),10021,,
CHEROKEE MEDICAL CENTER (010022),CHEROKEE MEDICAL CENTER (010022),10022,,
BAPTIST MEDICAL CENTER SOUTH (010023),BAPTIST MEDICAL CENTER SOUTH (010023),10023,,
JACKSON HOSPITAL AND CLINIC  INC (010024),JACKSON HOSPITAL AND CLINIC INC (010024),10024,,
GEORGE H. LANIER HOSPITAL (010025),GEORGE H. LANIER HOSPITAL (010025),10025,,
ELBA GENERAL HOSPITAL (010027),ELBA GENERAL HOSPITAL (010027),10027,,
EAST ALABAMA MEDICAL CENTER (010029),EAST ALABAMA MEDICAL CENTER (010029),10029,,
TANNER MEDICAL CENTER-EAST ALABAMA (010032),TANNER MEDICAL CENTER-EAST ALABAMA (010032),10032,1,
WEDOWEE HOSPITAL (010032),WEDOWEE HOSPITAL (010032),10032,1,
UNIVERSITY OF ALABAMA HOSPITAL (010033),UNIVERSITY OF ALABAMA HOSPITAL (010033),10033,,
COMMUNITY HOSPITAL INC. (010034),COMMUNITY HOSPITAL INC. (010034),10034,,
CULLMAN REGIONAL (010035),CULLMAN REGIONAL (010035),10035,,
ANDALUSIA REGIONAL HOSPITAL (010036),ANDALUSIA REGIONAL HOSPITAL (010036),10036,,
STRINGFELLOW MEMORIAL HOSPITAL (010038),STRINGFELLOW MEMORIAL HOSPITAL (010038),10038,,
HUNTSVILLE HOSPITAL (010039),HUNTSVILLE HOSPITAL (010039),10039,,
GADSDEN REGIONAL MEDICAL CENTER (010040),GADSDEN REGIONAL MEDICAL CENTER (010040),10040,,
CHILTON MEDICAL CENTER (010043),CHILTON MEDICAL CENTER (010043),10043,,
MARION REGIONAL MEDICAL CENTER (010044),MARION REGIONAL MEDICAL CENTER (010044),10044,,
FAYETTE MEDICAL CENTER (010045),FAYETTE MEDICAL CENTER (010045),10045,,1
FAYETTE MEDICAL CENTER DCH (010045),FAYETTE MEDICAL CENTER (010045),10045,,1
RIVERVIEW REGIONAL MEDICAL CENTER (010046),RIVERVIEW REGIONAL MEDICAL CENTER (010046),10046,,
GEORGIANA HOSPITAL (010047),GEORGIANA HOSPITAL (010047),10047,,
MEDICAL CENTER ENTERPRISE (010049),MEDICAL CENTER ENTERPRISE (010049),10049,,
ST. VINCENTS BLOUNT (010050),ST. VINCENTS BLOUNT (010050),10050,,1
ST. VINCENT S BLOUNT (010050),ST. VINCENTS BLOUNT (010050),10050,,1
GREENE COUNTY HOSPITAL (010051),GREENE COUNTY HOSPITAL (010051),10051,,
LAKE MARTIN COMMUNITY HOSPITAL (010052),LAKE MARTIN COMMUNITY HOSPITAL (010052),10052,,
PARKWAY MEDICAL CENTER (010054),PARKWAY MEDICAL CENTER (010054),10054,,
FLOWERS HOSPITAL (010055),FLOWERS HOSPITAL (010055),10055,,
ST VINCENTS HOSPITAL (010056),ST VINCENTS BIRMINGHAM (010056),10056,,1
ST VINCENT S HOSPITAL (010056),ST VINCENTS BIRMINGHAM (010056),10056,,1
ST VINCENTS BIRMINGHAM (010056),ST VINCENTS BIRMINGHAM (010056),10056,,1
BIBB MEDICAL CENTER (010058),BIBB MEDICAL CENTER (010058),10058,,
LAWRENCE MEDICAL CENTER (010059),LAWRENCE MEDICAL CENTER (010059),10059,,
HIGHLANDS MEDICAL CENTER (010061),HIGHLANDS MEDICAL CENTER (010061),10061,,
WIREGRASS MEDICAL CENTER (010062),WIREGRASS MEDICAL CENTER (010062),10062,,
RUSSELL MEDICAL CENTER (010065),RUSSELL MEDICAL CENTER (010065),10065,,
FLORALA COMMUNITY HOSPITAL (010066),FLORALA COMMUNITY HOSPITAL (010066),10066,,
MEDICAL CENTER BARBOUR (010069),MEDICAL CENTER BARBOUR (010069),10069,1,
SEAR (010069),SEAR (010069),10069,1,
CLAY COUNTY HOSPITAL (010073),CLAY COUNTY HOSPITAL (010073),10073,,
NORTHEAST ALABAMA REGIONAL MED CTR (010078),NORTHEAST ALABAMA REGIONAL MED CTR (010078),10078,,
ATHENS LIMESTONE (010079),ATHENS LIMESTONE (010079),10079,,
SOUTH BALDWIN REGIONAL MEDICAL CENTE (010083),SOUTH BALDWIN REGIONAL MEDICAL CENTE (010083),10083,,
DECATUR MORGAN - DECATUR CAMPUS (010085),DECATUR MORGAN HOSPITAL (010085),10085,,1
DECATUR GENERAL (010085),DECATUR MORGAN HOSPITAL (010085),10085,,1
NORTHWEST MEDICAL CENTER (010086),NORTHWEST MEDICAL CENTER (010086),10086,,
UNIV OF SOUTH ALABAMA MEDICAL CENTER (010087),UNIV OF SOUTH ALABAMA MEDICAL CENTER (010087),10087,1,
USA HEALTH UNIVERSITY HOSPITAL (010087),USA HEALTH UNIVERSITY HOSPITAL (010087),10087,1,
WALKER BAPTIST MEDICAL CENTER (010089),WALKER BAPTIST MEDICAL CENTER (010089),10089,,
PROVIDENCE HOSPITAL (010090),PROVIDENCE HOSPITAL (010090),10090,,
GROVE HILL MEMORIAL HOSPITAL (010091),GROVE HILL MEMORIAL HOSPITAL (010091),10091,,
DCH REGIONAL MEDICAL CENTER (010092),DCH REGIONAL MEDICAL CENTER (010092),10092,,
HALE COUNTY HOSPITAL (010095),HALE COUNTY HOSPITAL (010095),10095,,
ELMORE COMMUNITY HOSPITAL (010097),ELMORE COMMUNITY HOSPITAL (010097),10097,,
D W MCMILLAN MEMORIAL HOSPITAL (010099),D W MCMILLAN MEMORIAL HOSPITAL (010099),10099,,
THOMAS HOSPITAL (010100),THOMAS HOSPITAL (010100),10100,,
CITIZENS BAPTIST MEDICAL CENTER (010101),CITIZENS BAPTIST MEDICAL CENTER (010101),10101,,
JOHN PAUL JONES HOSPITAL (010102),JOHN PAUL JONES HOSPITAL (010102),10102,,
PRINCETON BAPTIST MEDICAL CENTER (010103),PRINCETON BAPTIST MEDICAL CENTER (010103),10103,,
GRANDVIEW MEDICAL CENTER (010104),GRANDVIEW MEDICAL CENTER (010104),10104,1,
TRINITY MEDICAL CENTER (010104),TRINITY MEDICAL CENTER (010104),10104,1,
PRATTVILLE BAPTIST HOSPITAL (010108),PRATTVILLE BAPTIST HOSPITAL (010108),10108,,
PICKENS COUNTY MEDICAL CENTER (010109),PICKENS COUNTY MEDICAL CENTER (010109),10109,,
BULLOCK COUNTY HOSPITAL (010110),BULLOCK COUNTY HOSPITAL (010110),10110,,
BRYAN W WHITFIELD MEMORIAL HOSPITAL (010112),WHITFIELD REGIONAL HOSPITAL (010112),10112,,1
WHITFIELD MEMORIAL HOSPITAL (010112),WHITFIELD REGIONAL HOSPITAL (010112),10112,,1
WHITFIELD REGIONAL HOSPITAL (010112),WHITFIELD REGIONAL HOSPITAL (010112),10112,,1
MOBILE INFIRMARY MEDICAL CENTER (010113),MOBILE INFIRMARY MEDICAL CENTER (010113),10113,,
UAB MEDICAL WEST (010114),UAB MEDICAL WEST (010114),10114,,
VAUGHAN REGIONAL MEDICAL CENTER (010118),VAUGHAN REGIONAL MEDICAL CENTER (010118),10118,,
MONROE COUNTY HOSPITAL (010120),MONROE COUNTY HOSPITAL (010120),10120,,
LAKELAND COMMUNITY HOSPITAL (010125),LAKELAND COMMUNITY HOSPITAL (010125),10125,,
TROY REGIONAL MEDICAL CENTER (010126),TROY REGIONAL MEDICAL CENTER (010126),10126,,
JACKSON MEDICAL CENTER (010128),JACKSON MEDICAL CENTER (010128),10128,,
NORTH BALDWIN INFIRMARY (010129),NORTH BALDWIN INFIRMARY (010129),10129,,
ST. VINCENT S ST. CLAIR (010130),ST. VINCENTS ST. CLAIR (010130),10130,,1
ST. VINCENTS ST. CLAIR (010130),ST. VINCENTS ST. CLAIR (010130),10130,,1
