hosp10 REPORT COUNTS  BY STATUS BY YEAR FOR THE QUARTER ENDING 2022-06-30                                                           
Year,          Amended,       As Submitted,  Reopened,      Settled,       Settled w/Audit,Sum                                      
2010,          30,            89,            641,           1419,          144,           2323                                      
2011,          66,            202,           1902,          3687,          293,           6150                                      
2012,          49,            111,           2116,          3628,          323,           6227                                      
2013,          65,            57,            1786,          4082,          258,           6248                                      
2014,          71,            30,            2257,          3658,          234,           6250                                      
2015,          95,            64,            1812,          4043,          243,           6257                                      
2016,          139,           177,           1304,          4236,          355,           6211                                      
2017,          200,           258,           471,           4907,          337,           6173                                      
2018,          992,           1736,          120,           3123,          188,           6159                                      
2019,          1031,          2893,          20,            2134,          40,            6118                                      
2020,          758,           4867,          1,             423,           1,             6050                                      
2021,          49,            2501,          0,             47,            0,             2597                                      
2022,          0,             4,             0,             1,             0,             5                                         
Sum,           3545,          12989,         12430,         35388,         2416,          66768                                     
