PROV	NAME	FYB	FYE	FC_DATE	MAC	CBSAGEO	MCR_TYPE	CR_IND	Multicamp_IND	maincamp_name1	offcamp_name1	offcamp_name2	offcamp_name3	offcamp_name4	maincamp_county	offcamp_county1	offcamp_county2	offcamp_county3	offcamp_county4	maincamp_st	offcamp_st1	offcamp_st2	offcamp_st3	offcamp_st4	maincamp_zip	offcamp_zip1	offcamp_zip2	offcamp_zip3	offcamp_zip4	maincamp_cbsa	offcamp_cbsa1	offcamp_cbsa2	offcamp_cbsa3	offcamp_cbsa4	maincamp_FTE	offcamp_FTE1	offcamp_FTE2	offcamp_FTE3	offcamp_FTE4	IIWG1	IIWG2	IIWG3	IIWG4	IIWG4_01	IIWG5	IIWG6	IIWG7	IIWG7_01	IIWG8	IIWG9	IIWG10	IIWG11	IIWG12	IIWG13	IIWG14	IIWG14_01	IIWG14_02	IIWG15	IIWG16	IIWG17	IIWG19	IIWG20	IIWG21	IIWG22	IIWG22_01	IIWG23	IIWG24	IIWG25	IIWG25_50	IIWG25_51	IIWG25_52	IIWG25_53	IIWG26	IIWG27	IIWG28	IIWG29	IIWG30	IIWG31	IIWG32	IIWG33	IIWG34	IIWG35	IIWG36	IIWG37	IIWG38	IIWG39	IIWG40	IIWG41	IIWG42	IIWG43	IIHR1	IIHR2	IIHR3	IIHR4	IIHR4_01	IIHR5	IIHR6	IIHR7	IIHR7_01	IIHR8	IIHR9	IIHR10	IIHR11	IIHR12	IIHR13	IIHR14	IIHR14_01	IIHR14_02	IIHR15	IIHR16	IIHR26	IIHR27	IIHR28	IIHR29	IIHR30	IIHR31	IIHR32	IIHR33	IIHR34	IIHR35	IIHR36	IIHR37	IIHR38	IIHR39	IIHR40	IIHR41	IIHR42	IIHR43	IIIWG1	IIIWG2	IIIWG3	IIIWG4	IIIWG5	IIIWG6	IIIWG7	IIIHR1	IIIHR2	IIIHR3	IIIHR4	IIIHR5	IIIHR6	IIIHR7	IVWG8	IVWG8_01	IVWG8_02	IVWG8_03	IVWG9	IVWG10
010001	SOUTHEAST ALABAMA MEDICAL CENTER	20151001	20160930	20190317	10001	20020	1	N	N																										0	0	0	0	0	151791972	0	6560478	0	0	3335267	0	0	0	0	0	37613416	21218	0	83232	0	0	0	0	0	26122034	6385681	0	1020691	0	0	470405	0	0	0	0	0	0	2639756	16711674	270479	0	2787187	526733	2101343	0	1969668	0	0	0	2214368	901784	3521142	2929714	0	0	4963436	0	76982	0	0	24271	0	0	0	0	0	604947	474	0	667.5	0	0	0	0	0	114098	636195	4796.2	0	117286	43754	181942	0	142797	0	0	0	77302	53083	88674	124431	0	0	142166706	37613416	104553290	104450	26122034	130779774	36573848	4866979.2	604947	4262032.2	1141.5	0	4263173.7	1584358.2	0	0	11248619	0	2806644	2138835
010005	MARSHALL MEDICAL CENTER - SOUTH	20151001	20160930	20170309	10001	01	1	N	N																										0	0	0	0	0	55182574	0	1626795	0	0	0	0	0	0	0	0	12376015	2145949	0	39000	0	0	2244165	0	0	13293587	1918318	0	250692	0	0	0	0	0	0	506373	0	0	0	4321509	91500	0	1189460	66082	1209203	0	1132870	0	0	0	268037	0	0	1362341	1104933	0	2315545.21	0	20945	0	0	0	0	0	0	0	0	269731.84	54668.71	0	256	0	0	35095	0	0	0	252509.82	474.5	0	63469.35	6240	106769.97	0	92572.51	0	0	0	8914.86	0	0	74546.01	43750.86	0	53647279	12376015	41271264	4429114	13799960	59500338	10745935	2295074.71	269731.84	2025342.87	90019.71	0	2115362.58	649247.88	0	0	3284679	5118557	0	0
010006	ELIZA COFFEE MEMORIAL HOSPITAL	20160701	20170630	20190318	10001	22520	1	N	N																										0	0	0	0	0	48305190	0	2548987	0	0	1470395	0	0	0	0	0	48155	800829	72365	1041214	0	1602603	0	0	0	10617675	20768	0	250110	0	0	47584	0	0	58674	0	0	0	216588	5855296	233992	0	470260	79610	1161134	0	990597	0	0	0	906218	491803	1669154	1856349	0	0	1992944	0	28068	0	0	5402	0	0	0	0	0	4718	13058	439	12298	0	21324	0	0	0	9247	211663	1764	0	21422	7199	110536	0	72405	0	0	0	19098	33492	48028	82711	0	0	44519800	48155	44471645	3517011	10676349	58665005	13931001	1961238	4718	1956520	47119	0	2003639	617565	0	5701086	0	0	0	591423
010007	MIZELL MEMORIAL HOSPITAL	20151001	20160930	20181114	10001	01	1	N	N																										0	0	0	0	0	7314007	2400	415872	0	0	0	0	0	0	0	0	1153945	4346	0	480000	0	0	0	0	0	1012746	203450	0	73322	0	0	0	0	0	0	0	0	0	46894	784427	44939	114850	0	0	0	214032	198059	2800	0	0	369906	0	0	276091	99305	0	356963.16	24	4522.58	0	0	0	0	0	0	0	0	64917.24	68.75	0	8784	0	0	0	0	0	2103	46111.55	548.9	6095.91	0	0	0	21592.32	20221.03	80	0	0	12729.79	0	0	14949	4197.14	0	7157506	1153945	6003561	484346	1012746	7500653	2151303	374637.8	64917.24	309720.56	8852.75	0	318573.31	128628.64	0	0	0	609086	0	5203
010008	CRENSHAW COMMUNITY HOSPITAL	20160101	20161231	20190117	10001	01	1	N	N																										0	0	0	0	0	6172706	0	156565	0	0	0	0	0	0	0	0	1703679	0	0	0	0	88928	0	0	0	475190	187728	0	17252	0	0	0	0	0	12138	0	0	0	0	873927	11500	0	107589	0	132664	0	156525	0	0	0	403362	54227	0	80297	0	0	254313.7	0	2080	0	0	0	0	0	0	0	0	71621.12	0	0	0	0	2973.61	0	0	0	0	26551.05	92	0	5298.71	0	11751.81	0	14015.19	0	0	0	10760.8	3507.39	0	6595.15	0	0	6027641	1703679	4323962	88928	487328	4900218	1820091	252325.7	71621.12	180704.58	2973.61	0	183678.19	78572.1	0	0	0	133329	0	0
010011	ST. VINCENTS EAST	20160701	20170630	20181114	10001	13820	1	N	N																										0	0	0	0	0	66356203	0	0	0	834286	0	0	882743	0	0	0	4599336	1466909	0	180818	0	15788422	0	0	0	13990685	1239738	0	0	0	134689	0	0	194115	4424701	0	0	0	0	2604315	2256321	0	356401	0	0	1924259	0	2562819	0	0	1063856	0	0	163787	0	0	2571317	0	0	0	12580	0	0	30035	0	0	0	230497	23199	0	1015	0	357702	0	0	0	0	94879	18132	0	38964	0	0	138227	0	153392	0	0	28424	0	0	12025	0	0	71382573	4599336	66783237	17436149	18415386	102634772	10931758	2838453	230497	2607956	381916	0	2989872	484043	0	0	7403892	0	0	157023
010012	DEKALB REGIONAL MEDICAL CENTER	20160401	20170331	20181109	05901	01	1	N	N																										0	0	0	0	0	18141029	0	0	0	0	0	0	0	0	0	0	1572420	1423277	0	80929	0	915845	0	0	0	2978206	282642	0	0	0	0	0	0	0	151648	0	0	0	113456	1659512	0	0	308230	25755	353360	0	167524	0	201200	0	755125	358908	778558	350448	0	0	816371	0	0	0	0	0	0	0	0	0	0	66497	29165	0	522	0	18620	0	0	0	4174	80029	0	0	17252	2131	35119	0	15101	0	18136	0	21964	26315	22416	19231	0	0	18141029	1572420	16568609	2420051	3129854	22118514	5072076	816371	66497	749874	48307	0	798181	261868	0	0	1448031	0	0	22450
010016	SHELBY BAPTIST MEDICAL CENTER	20160101	20161231	20190318	10001	13820	1	N	N																										0	0	0	0	0	49057700	0	0	0	0	0	0	0	0	0	0	3298026	1821797	0	91342	0	2439980	7341164	0	0	8886013	640439	0	0	0	0	0	0	0	341748	1153440	0	0	839886	4588410	0	0	1039547	0	0	1927604	0	1285169	0	0	2237065	318873	2442082	570820	529603	0	1876124	0	0	0	0	0	0	0	0	0	0	140586	30117	0	474	0	25066	233348	0	0	32240	174949	0	0	56462	0	0	131310	0	76509	0	0	64043	19897	61181	28287	22583	0	52270473	3298026	48972447	11694283	10381201	71047931	15779059	2083943	140586	1943357	289005	0	2232362	667461	0	0	4792105	0	0	0
010018	CALLAHAN EYE FOUNDATION HOSP	20151001	20160930	20181114	10001	13820	1	N	N																										0	0	0	0	0	12593568	0	2582650	0	0	142466	0	0	404104	0	0	112742	404104	0	0	0	0	0	0	0	1958545	22634	0	518490	0	0	28601	0	0	0	0	0	0	0	2720893	84000	0	291187	0	0	521985	0	102886	0	0	551706	0	560861	372519	0	0	424486.38	0	35301.6	0	0	2160	0	0	16068	0	0	5937.98	16068	0	0	0	0	0	0	0	0	113924.75	547.9	0	12897.66	0	0	50213.6	0	7593.09	0	0	9450.88	0	11907.16	20612.86	0	0	10173219	112742	10060477	404104	1958545	12423126	5206037	429311.37	5937.98	423373.39	16068	0	439441.39	227147.9	0	0	0	1481901	0	0
010019	HELEN KELLER HOSPITAL	20151001	20160930	20181114	10001	22520	1	N	N																										0	0	0	0	0	32319330	0	958509	0	0	3249871	0	0	0	0	0	324711	39729	0	457394	0	2843043	0	0	0	7132014	67949	0	132369	0	0	301327	0	0	680692	0	0	0	37373	460311	240637	0	610531	25437	750149	0	803532	0	0	0	440482	180799	1382740	1234642	0	135117	1361566	0	11164.21	0	0	21919.15	0	0	0	0	0	10961.6	1046	0	9901	0	132557	0	0	0	2101	23525	1804	0	42786	1830	82555	0	70242	0	0	0	13707	16515	41309	61318	0	4222	28351587	324711	28026876	3340166	7812706	39179748	6301750	1330286.64	10961.6	1319325.04	143504	0	1462829.04	361914	0	0	4362625	0	0	-2876
