PROV	NAME	FYB	FYE	FC_DATE	MAC	CBSAGEO	MCR_TYPE	CR_IND	Multicamp_IND	maincamp_name1	offcamp_name1	offcamp_name2	offcamp_name3	offcamp_name4	maincamp_county	offcamp_county1	offcamp_county2	offcamp_county3	offcamp_county4	maincamp_st	offcamp_st1	offcamp_st2	offcamp_st3	offcamp_st4	maincamp_zip	offcamp_zip1	offcamp_zip2	offcamp_zip3	offcamp_zip4	maincamp_cbsa	offcamp_cbsa1	offcamp_cbsa2	offcamp_cbsa3	offcamp_cbsa4	maincamp_FTE	offcamp_FTE1	offcamp_FTE2	offcamp_FTE3	offcamp_FTE4	IIWG1	IIWG2	IIWG3	IIWG4	IIWG4_01	IIWG5	IIWG6	IIWG7	IIWG7_01	IIWG8	IIWG9	IIWG10	IIWG11	IIWG12	IIWG13	IIWG14	IIWG14_01	IIWG14_02	IIWG15	IIWG16	IIWG17	IIWG19	IIWG20	IIWG21	IIWG22	IIWG22_01	IIWG23	IIWG24	IIWG25	IIWG25_50	IIWG25_51	IIWG25_52	IIWG25_53	IIWG26	IIWG27	IIWG28	IIWG29	IIWG30	IIWG31	IIWG32	IIWG33	IIWG34	IIWG35	IIWG36	IIWG37	IIWG38	IIWG39	IIWG40	IIWG41	IIWG42	IIWG43	IIHR1	IIHR2	IIHR3	IIHR4	IIHR4_01	IIHR5	IIHR6	IIHR7	IIHR7_01	IIHR8	IIHR9	IIHR10	IIHR11	IIHR12	IIHR13	IIHR14	IIHR14_01	IIHR14_02	IIHR15	IIHR16	IIHR26	IIHR27	IIHR28	IIHR29	IIHR30	IIHR31	IIHR32	IIHR33	IIHR34	IIHR35	IIHR36	IIHR37	IIHR38	IIHR39	IIHR40	IIHR41	IIHR42	IIHR43	IIIWG1	IIIWG2	IIIWG3	IIIWG4	IIIWG5	IIIWG6	IIIWG7	IIIHR1	IIIHR2	IIIHR3	IIIHR4	IIIHR5	IIIHR6	IIIHR7	IVWG8	IVWG8_01	IVWG8_02	IVWG8_03	IVWG9	IVWG10
010138	HILL HOSPITAL OF SUMTER COUNTY	20160101	20161231	20181114	10001	01	1	N	N																										0	0	0	0	0	1805418	0	0	0	0	120280	109982	0	0	0	0	110693	0	0	0	0	0	0	0	0	112865	8531	0	0	0	0	9270	8476	0	0	0	0	0	26786	258947	0	0	48162	0	54541	0	58691	0	0	0	56087	0	0	42278	0	0	112195	0	0	0	0	1240	2072	0	0	0	0	6672	0	0	0	0	0	0	0	0	1681.5	17582.5	0	0	3760.75	0	5937.75	0	6413.5	0	0	0	2117.25	0	0	4423.75	0	0	1575156	110693	1464463	0	112865	1577328	545492	108883	6672	102211	0	0	102211	41917	0	0	0	0	0	0
030120	GILBERT HOSPITAL	20160101	20161231	20181012	03001	38060	1	N	N																										0	0	0	0	0	8797038	0	0	0	0	0	0	0	0	0	0	0	679448	0	0	0	0	0	0	0	1145942	0	0	0	0	0	0	0	0	0	0	0	0	6301	5609731	0	0	46947	0	105132	0	44554	0	0	0	108213	0	164330	33922	0	0	231199	0	0	0	0	0	0	0	0	0	0	0	10395	0	0	0	0	0	0	0	2066	37979	0	0	4582	0	15662	0	3332	0	0	0	5153	0	9985	13700	0	0	8797038	0	8797038	679448	1145942	10622428	6119130	231199	0	231199	10395	0	241594	92459	0	0	289873	0	0	86333
030132	FLORENCE HOSPITAL AT ANTHEM	20160101	20161231	20181213	03001	38060	1	N	N																										0	0	0	0	0	8471711	0	0	0	0	0	0	0	0	0	0	0	439500	0	0	0	0	0	0	0	843024	0	0	0	0	0	0	0	0	0	0	0	0	0	5768474	0	0	68061	0	74403	0	20936	0	0	0	0	0	88691	124662	0	0	331928	0	0	0	0	0	0	0	0	0	0	0	5956	0	0	0	0	0	0	0	0	133420	0	0	6712	0	11723	0	846	0	0	0	0	0	4191	13700	0	0	8471711	0	8471711	439500	843024	9754235	6145227	331928	0	331928	5956	0	337884	170592	0	85219	0	0	0	19226
040050	OUACHITA COUNTY MEDICAL CENTER	20151001	20160930	20181114	07001	04	1	N	N																										0	0	0	0	0	15217976	0	0	18130	0	230068	47986	0	0	0	0	3298043	0	0	592193	0	0	0	0	0	1711092	464479	0	0	1627	0	21907	9490	0	0	0	0	0	122647	1568896	219721	520275	0	57965	349538	0	129734	0	153292	0	734005	124978	0	197124	0	0	830921	0	0	208	0	3573.05	4383	0	0	0	0	192580.38	0	0	2623	0	0	0	0	0	6518.43	97936.25	1326	29471.56	0	6459.39	39139.26	0	12898.9	0	15241	0	28245.68	11947	0	15669.97	0	0	15159643	3298043	11861600	592193	1712719	14166512	4178175	824290.95	192580.38	631710.57	2623	0	634333.57	264853.44	0	0	0	1053788	0	16354
040132	LEO N LEVI MEMORIAL HOSPITAL	20160101	20161231	20170421	07001	26300	1	N	N																										0	0	0	0	0	4345455	0	0	0	0	0	0	0	0	0	0	1693170	17714	0	173280	0	0	0	0	0	333657	487096	0	0	0	0	0	0	0	0	0	0	0	0	699919	40236	182488	0	0	90555	0	92489	0	61802	0	0	12955	0	187620	0	0	214326	0	0	0	0	0	0	0	0	0	0	87081.08	680	0	1103	0	0	0	0	0	0	27802	203.9	12159	0	0	7778	0	7709.99	0	5151.93	0	0	696.88	0	11047	0	0	4385691	1693170	2692521	190994	333657	3217172	1368064	214529.9	87081.08	127448.82	1783	0	129231.82	72548.7	463252	0	0	0	0	31822
050110	LOMPOC VALLEY MEDICAL CENTER	20160701	20170630	20181031	01011	42200	1	N	N																										0	0	0	0	0	37244650	0	0	0	0	0	0	0	0	0	6807813	2061123	1161449	0	0	0	0	0	0	0	6449190	2015719	0	0	0	0	0	0	0	0	0	0	0	165446	4897110	0	300541	81620	9743	898967	0	693435	0	562769	0	1418513	156418	748715	735068	0	0	1214145	0	0	0	0	0	0	0	0	0	257870	83627	15840	0	0	0	0	0	0	0	5273	146037	0	20473	1394	660	59107	0	38475	0	30972	0	26223	8392	20912	32244	0	0	37244650	8868936	28375714	1161449	6449190	35986353	10668345	1214145	341497	872648	15840	0	888488	390162	0	0	0	3652750	0	164736
050189	MEE MEMORIAL HOSPITAL	20151001	20160930	20181204	01011	41500	1	N	N																										0	0	0	0	0	26988475	0	0	0	0	1672975	447179	0	0	0	1141992	78070	1839307	0	0	0	0	0	0	0	7779907	401381	0	0	0	0	550383	147115	0	0	0	0	0	249212	3723306	0	739188	0	0	74232	0	57321	0	14759	0	1324844	176827	543416	449982	86989	0	761744	0	0	0	0	12498	4952	0	0	0	40616	2174	26341	0	0	0	0	0	0	0	7134	109172	0	20598	0	0	4659	0	3631	0	935	0	22064	7858	10891	20310	4657	0	24868321	1220062	23648259	1839307	7779907	33267473	7440076	744294	42790	701504	26341	0	727845	211909	0	0	5066354	0	353391	279641
050742	OLYMPIA	20160101	20161231	20181115	01011	31084	1	N	N																										0	0	0	0	0	37020378	0	0	0	0	0	0	0	0	0	0	59647	1458392	0	0	0	0	0	0	0	10761450	17367	0	0	0	0	0	0	0	0	0	0	0	241615	4095815	0	0	709306	0	906558	0	831177	0	0	0	850293	0	0	1832823	186003	0	1729190	0	0	0	0	0	0	0	0	0	0	1721	23850	0	0	0	0	0	0	0	8851	166613	0	0	33961	0	106763	0	45093	0	0	0	24397	0	0	58942	4771	0	37020378	59647	36960731	1458392	10761450	49180573	9653590	1729190	1721	1727469	23850	0	1751319	449391	0	0	6208093	0	0	0
050769	HOAG ORTHOPEDIC INSTITUTE	20160701	20170630	20181104	01011	11244	1	N	N																										0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	24749808	2970569	0	0	0	0	0	0	742222	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	571501	0	564684	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	523125	48257	0	0	0	0	0	0	0	0	0	0	0	0	0	31880	0	32490	0	0	0	0	0	0	0	0	1136186	0	1136186	27720377	742222	29598785	1136186	64371	0	64371	571382	0	635753	64370	0	0	0	0	0	0
050781	SONOMA WEST MEDICAL CENTER	20160701	20170630	20181112	01011	42220	1	N	N																										0	0	0	0	0	11796779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1503019	0	0	0	0	0	0	0	0	0	0	0	0	301218	2007703	0	0	282473	0	238770	0	258907	0	0	0	255761	0	386583	43460	0	0	334691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8206	62105	0	0	8822	0	15849	0	13739	0	0	0	5365	0	9372	1625	0	0	11796779	0	11796779	0	1503019	13299798	3774875	334691	0	334691	0	0	334691	125083	0	0	0	749463	0	0
100050	LARKIN COMMUNITY HOSPITAL PALM SPRIN	20160201	20161231	20181115	09001	33124	1	N	N																										0	0	0	0	0	24957083	0	0	0	0	0	0	493278	0	0	0	0	0	0	0	0	0	0	0	0	3468265	0	0	0	0	0	0	0	70059	0	0	0	0	171347	2845232	0	0	803847	0	624030	0	240081	0	551443	0	739736	152449	1106427	386225	40437	0	1213088	0	0	0	0	0	0	14387.38	0	0	0	0	0	0	0	0	0	0	0	0	8738.71	126648.5	0	0	54176.25	0	67980.33	0	31383	0	7170.5	0	23642.53	9637.25	49863.98	19106.15	1692.25	0	24463805	0	24463805	0	3468265	27932070	7661254	1198700.62	0	1198700.62	0	0	1198700.62	400039.45	0	0	1490063	0	0	0
100081	HEALTHMARK REGIONAL MED CTR	20151001	20160930	20181112	09001	18880	1	N	N																										0	0	0	0	0	4548622	0	102050	0	0	226009	71143	0	0	0	0	218358	0	0	0	0	0	0	0	0	566980	31524	0	14711	0	0	33298	10245	0	0	0	0	0	0	1029329	0	0	65174	0	58707	0	117009	0	0	0	68188	156	119269	214937	0	0	252684.05	0	1914.8	0	0	3646.83	4911.77	0	0	0	0	10713.25	0	0	0	0	0	0	0	0	0	66607.1	0	0	5889.25	0	5921.5	0	11789.75	0	0	0	2855.9	10.5	2858.5	17570.12	0	0	4149420	218358	3931062	0	566980	4498042	1672769	242210.65	10713.25	231497.4	0	0	231497.4	113502.62	0	0	228563	0	0	0
100277	"MIAMI JEWISH HEALTH SYSTEMS, INC."	20160701	20170630	20181115	09001	33124	1	N	N																										0	0	0	0	0	28864489	0	0	0	0	1555864	0	0	0	0	13418016	171581	0	0	0	0	0	0	0	0	4423345	4381466	0	0	0	0	501616	0	0	0	0	0	0	0	7026224	0	0	775749	0	0	1430981	0	3534585	0	0	2682746	354562	0	201536	604882	470460	1517500	0	0	0	0	12576	0	0	0	0	795684	4544	0	0	0	0	0	0	0	0	0	191861.5	0	0	43465.75	0	0	130548.5	0	248944.5	0	0	78245.25	19322	0	12261.75	25128.75	36591.25	32274191	13589597	18684594	0	4423345	23107939	17081725	1884417	800228	1084189	0	0	1084189	786369.25	0	0	2280330	0	0	38802
100298	FLORIDA STATE HOSPITAL	20160701	20170630	20181115	09001	45220	1	N	N																										0	0	0	0	0	53929258	0	0	0	0	5406325	0	0	0	0	0	31956238	0	0	0	0	0	0	0	0	7391208	14717842	0	0	0	0	2726998	0	0	0	0	0	0	0	2846929	0	0	3862350	0	0	186336	1812209	0	0	0	0	621990	1235647	467511	1053003	0	3473600	0	0	0	0	45730.34	0	0	0	0	0	2242240	0	0	0	0	0	0	0	0	0	141440	0	0	216320	0	0	15240	180960	0	0	0	0	47840	45760	39520	70720	0	48709269	31956238	16753031	0	7391208	24144239	12085975	3443109.66	2242240	1200869.66	0	0	1200869.66	757800	0	15206608	0	0	0	0
100322	REGIONAL GENERAL HOSPITAL	20160901	20170831	20180222	09001	10	1	N	N																										0	0	0	0	0	2706750	0	0	0	0	0	0	0	0	0	0	105691	0	0	0	0	0	0	0	0	369279	15005	0	0	0	0	0	0	0	0	0	0	0	0	453285	0	0	70328	0	79115	0	81759	0	0	0	68683	0	0	62394	0	0	143893	0	0	0	0	0	0	0	0	0	0	7897	0	0	0	0	0	0	0	0	0	25766	0	0	5195	0	6629	0	7001	0	0	0	2121	0	0	5429	0	0	2706750	105691	2601059	0	369279	2970338	815564	143893	7897	135996	0	0	135996	52141	150059	0	0	0	0	0
110190	FLINT RIVER COMMUNITY HOSPITAL	20160101	20161231	20181114	10001	11	1	N	N																										0	0	0	0	0	3664340	0	0	0	0	286033	109787	0	0	0	0	1603323	127069	203402	0	0	0	0	0	0	273089	262942	0	0	0	0	46909	18005	0	0	0	0	0	33414	398528	71591	0	54414	0	85859	0	204984	0	0	0	451779	48259	0	52404	0	0	172344.69	0	0	0	0	2141	8173.64	0	0	0	0	63946.94	2080	2080	0	0	0	0	0	0	1936.95	18509.63	274.5	0	2320.7	0	9219.28	0	17885.39	0	0	0	19592.15	3117.47	0	3833.87	0	0	3340111	1603323	1736788	330471	273089	2340348	1401232	162304.55	63946.94	98357.61	4160	0	102517.61	76689.94	0	0	0	178139	0	44570
110236	CORNERSTONE MEDICAL CENTER	20160512	20161231	20181114	10001	16860	1	N	N																										0	0	0	0	0	4581409	0	0	0	0	0	0	0	0	0	0	0	31241	0	0	0	0	0	0	0	242295	0	0	0	0	0	0	0	0	0	0	0	0	0	823018	380986	0	501846	0	149249	0	0	67188	0	0	188772	73776	204794	42584	0	0	170453.76	0	0	0	0	0	0	0	0	0	0	0	582.48	0	0	0	0	0	0	0	0	27729.57	1636.3	0	25583.59	0	12840.99	0	0	4142	0	0	5260.25	3821.25	4414.5	2617	0	0	5029583	0	5029583	31241	242295	5303119	2432213	176232.06	0	176232.06	582.48	0	176814.54	88045.45	0	0	0	190642	0	0
150172	PHYSICIANS MEDICAL CENTER	20160101	20161231	20190311	08001	31140	1	N	N																										0	0	0	0	0	8478664	0	0	0	0	0	0	0	0	0	0	24926	65565	0	0	0	0	0	0	0	1784961	5279	0	0	0	0	0	0	0	0	0	0	0	0	1325761	0	0	104267	0	6695	0	0	15600	0	0	126981	243752	0	0	0	0	358800	0	0	0	0	0	0	0	0	0	0	131	1106.5	0	0	0	0	0	0	0	0	76053	0	0	4160	0	416	0	0	312	0	0	1944	16640	0	0	0	0	8494264	24926	8469338	65565	1784961	10319864	1823056	359112	131	358981	1106.5	0	360087.5	99525	0	0	0	1036685	0	0
180021	PINEVILLE COMMUNITY HOSPITAL	20160701	20170630	20181207	15101	18	1	N	N																										0	0	0	0	0	11789022	0	0	0	0	0	0	0	0	0	789956	2964021	0	0	0	0	0	0	0	0	1524133	757731	0	0	0	0	92874	0	0	0	0	0	0	0	869999	0	0	309038	0	459407	0	235683	0	0	0	177568	0	0	373147	0	0	617084	0	0	0	0	0	0	0	0	0	43988	154635	0	0	0	0	0	0	0	0	0	52138	0	0	21428	0	33392	0	22955	0	0	0	7114	0	0	23033	0	0	11789022	3753977	8035045	0	1524133	9559178	2424842	617084	198623	418461	0	0	418461	160060	0	1398330	0	0	0	0
190140	FRANKLIN MEDICAL CENTER	20160501	20170430	20190301	07001	19	1	N	N																										0	0	0	0	0	12891778	0	0	0	0	2545405	856995	0	0	0	0	1991423	0	0	680602	0	0	0	0	0	622492	165363	0	0	0	0	211279	71176	0	0	0	0	0	96765	1441300	0	220080	0	0	41035	0	0	390833	0	0	370590	71754	381345	319088	0	0	472275	0	0	0	0	20566	45904	0	0	0	0	42305	0	0	6460	0	0	0	0	0	4966.75	70205.29	0	13098.51	0	0	5192.72	0	0	35040	0	0	10216.5	6091.75	9451.9	29853.25	0	0	9880211	1991423	7888788	680602	622492	9191882	3332790	440845	42305	398540	6460	0	405000	184116.67	0	0	0	0	0	0
190199	VILLA FELICIANA MEDICAL COMPLEX	20160701	20170630	20171220	07001	12940	1	N	N																										0	0	0	0	0	8945979	0	0	0	0	0	0	0	0	0	5765228	221704	0	0	0	0	0	0	0	0	1898346	3440822	0	0	0	0	0	0	0	0	0	0	0	214820	657594	0	304402	175889	0	380726	0	50939	0	0	0	321622	20634	0	96453	189198	197129	426202	0	0	0	0	0	0	0	0	0	225153	2080	0	0	0	0	0	0	0	0	9639	28053	0	14628	11186	0	36286	0	2080	0	0	0	8451	2080	0	4440	8040	12421	8945979	5986932	2959047	0	1898346	4857393	2609406	426202	227233	198969	0	0	198969	137304	0	0	980840	0	0	0
