PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-20,30-SEP-21,As Submitted,SOUTHEAST HEALTH MEDICAL CENTER         ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,3462556,,,1651616,,,.1222,1284428,587884,326,118990,28677,11334,101608,39,2563.02,,4725,2829,17818,53,,,,,,
010005,01-OCT-20,30-SEP-21,As Submitted,MARSHALL MEDICAL CENTERS SOUTH          ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,528306,,,.1213,,,192,70080,11420,7312,37391,,1293,,1894,1409,6834,,,,,,,
010007,01-OCT-20,30-SEP-21,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,40879,,,.0422,,,45,16425,3057,597,6517,,144.13,,481,121,1213,,,,20,,163,
010016,01-JAN-21,31-DEC-21,As Submitted,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,171991,,,.0346,,,212,77380,10567,4874,44191,,609,,1757,769,7949,,,,124,,841,
010018,01-OCT-20,30-SEP-21,As Submitted,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,94422,,,,,,,15636,232888,6,2190,98,23,345,6.19,246.94,,31,12,148,,,,,,,
010019,01-OCT-20,30-SEP-21,As Submitted,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,480537,,,.1212,,,172,62780,10361,6088,28926,,737.67,,2043,1940,6973,,,,,,,
010021,01-OCT-20,30-SEP-21,As Submitted,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,84984,,,.12,,,77,28105,2002,1422,8300,,272.44,,337,229,1324,,,,8,,50,
010029,01-OCT-20,30-SEP-21,As Submitted,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,134138,,,982517,,,.1295,,,311,113515,19328,16023,80171,2.52,2290.97,,2994,3512,15455,,,,,,,39
010033,01-OCT-20,30-SEP-21,As Submitted,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,21271853,,,5970868,,,.1642,7824180,3329113,1129,412014,71004,86999,361337,587.43,9619.93,,10527,9072,48579,,,,774,255,2603,1187
010034,01-OCT-20,30-SEP-21,As Submitted,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,13122,,,.0713,,,37,13505,1010,168,2589,,142.28,,113,36,366,,,,2,,90,
