PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-18,30-SEP-19,As Submitted,SOUTHEAST HEALTH MEDICAL CENTER         ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,1649155,,,2334207,,,.1507,466833,250180,342,124830,35133,11950,99283,16.28,2479.23,,6572,2332,20694,,,,,,,
010005,01-OCT-18,30-SEP-19,Amended,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,568753,,,.1204,,,204,74460,14697,7128,37048,,1290.19,,2783,1360,7640,,,,,,,
010006,01-JUL-19,30-JUN-20,As Submitted,NORTH ALABAMA MEDICAL CENTER            ,1701 VETERANS DRIVE                     ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,,,,896487,,,.0883,,,223,81618,25355,9010,61229,,967.29,,4570,1879,11756,60,,,,,,
010007,01-OCT-18,30-SEP-19,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,26097,,,.0364,,,45,16425,3347,432,5031,,159.01,,610,132,1077,,1,,23,,233,
010008,01-JAN-19,31-DEC-19,As Submitted,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,23576,,,.12,,,29,10585,658,402,1609,,93.23,,180,79,376,,,,,,670,
010011,01-JUL-19,30-JUN-20,As Submitted,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,659005,,,395225,,,.0585,830045,231411,309,113094,15606,9340,78097,20.41,979,,2840,1614,14222,,,,29,2,655,240
010012,01-APR-19,31-MAR-20,As Submitted,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,186581,,,.12,,,97,35502,3636,2763,11255,,346.63,,939,774,3204,,,,17,,325,
010016,01-JAN-19,31-DEC-19,Amended,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,467270,,,.0805,,,212,77380,12419,7611,47914,,713,,2643,1295,10921,,,,188,,1136,
010018,01-OCT-18,30-SEP-19,As Submitted,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,40717,,,,,,,9544,197803,12,4380,69,16,259,6.48,248.6,,25,6,110,,,,,,,
010019,01-OCT-18,30-SEP-19,As Submitted,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,515902,,,.1245,,,178,64970,12876,5742,27602,,688.31,,2877,2020,6996,,,,,,,
